simulation_id,mjd_time,gps_time,longitude,latitude,ra,dec,inclination,distance,mass1,mass2,spin1z,spin2z,redshift,mass1_detector,mass2_detector,mass1_source,mass2_source,radius1_source,radius2_source,compactness1,compactness2,mej_dyn,mej_wind,mej_total,phi,costheta,distmean,diststd
12829,61790.4537,1516013614.15,5.5912239,-0.77601208,320.353532,-44.462217,2.635396,195.22066,1.8264301,1.0494764,-0.0082295062,0.36483341,0.0426842,1.8264301,1.0494764,1.7516617469143771,1.0065141086808698,11.621204,12.039518,0.22259,0.12346,0.052572,0.054057,0.106629,29.632391,0.874595,140.495459,44.546408
12830,63465.7794,1660761762.13,5.4304961,0.13072264,311.144507,7.489856,2.3609463,270.39867,1.8831459,1.2730904,-0.063761875,0.35390815,0.0584618,1.8831459,1.2730904,1.7791345521681314,1.2027741019288773,11.581653,11.996864,0.22685,0.14805,0.013072,0.064254,0.077326,26.9514,0.710459,421.35637,128.033331
12831,61188.1832,1463977450.23,5.2282003,-0.49480623,299.553812,-28.350309,2.4078892,344.54033,1.6498848,1.4790802,0.21315913,-0.14724834,0.073706,1.6498848,1.4790802,1.5366261917783375,1.377546708146376,11.842047,11.934417,0.19162,0.17045,0.003164,0.028339,0.031503,54.995084,0.7427,385.169871,92.824291
12832,63275.592,1644329569.83,3.7934671,0.80283848,217.349655,45.999257,2.6804395,487.4876,1.4284358,1.3532833,-0.18832602,0.27235177,0.1022962,1.4284358,1.3532833,1.2958729484095164,1.2276948113484414,11.967098,11.996844,0.15991,0.15112,0.002084,0.069759,0.071843,41.602562,0.89554,395.357838,115.119256
12833,62082.3329,1541231976.43,4.4603432,-0.12099048,255.558841,-6.932244,2.5654463,203.13976,1.9396436,1.744506,0.18068142,0.032654729,0.0443622,1.9396436,1.744506,1.8572518426562616,1.670403255023193,11.443308,11.721671,0.23967,0.21044,0.005674,0.000399,0.006074,18.177951,0.838568,234.708066,101.403373
12834,61009.3948,1448530129.63,4.2837228,-0.24131844,245.439237,-13.826528,2.7528796,305.70979,1.7122531,1.1644982,0.39935973,-0.11411224,0.0657597,1.7122531,1.1644982,1.6066033717313806,1.0926461365408673,11.784406,12.02254,0.20133,0.13421,0.00844,0.025044,0.033484,41.543577,0.925398,270.517583,59.528151
12835,63217.3198,1639294844.61,4.0562556,-0.20571896,232.406327,-11.786828,2.4206954,353.05002,1.9737179,1.0786796,-0.22057465,-0.29422313,0.0754367,1.9737179,1.0786796,1.8352710653059838,1.003015404894404,11.486059,12.040284,0.23596,0.12302,0.09,0.065245,0.155245,60.522582,0.751214,431.139906,114.238085
12836,63036.7697,1623695319.69,4.9834201,0.11591633,285.528939,6.641516,1.1991167,293.29808,2.1188202,1.1669055,-0.3613598,-0.10273612,0.0632024,2.1188202,1.1669055,1.992866214265624,1.0975384066051168,11.039897,12.021287,0.26657,0.13482,0.09,0.041312,0.131312,18.999243,0.363181,566.455225,192.273015
12837,62850.7317,1607621633.24,2.6314448,-0.77220747,150.770681,-44.244229,1.0218385,293.60011,1.6135949,1.3430302,0.031350106,0.075515218,0.0632648,1.6135949,1.3430302,1.5175852353301977,1.2631192637771491,11.854866,11.978392,0.18904,0.15572,0.003339,0.041855,0.045194,69.948446,0.521798,412.387681,137.02201
12838,61870.3532,1522916937.9,0.024615086,0.37688611,1.410341,21.593983,0.91736583,426.64894,2.2357986,1.7173519,0.17279501,-0.43441099,0.0902506,2.2357986,1.7173519,2.0507199744534805,1.575190110815722,10.622901,11.811324,0.28508,0.19694,0.0,0.0,0.012729,43.587869,0.607914,601.916103,189.175967
12839,64201.2695,1724308106.9,1.4169015,-0.096179006,81.182476,-5.510651,2.2293927,476.55372,2.0664239,1.871065,0.42754477,0.18024103,0.1001442,2.0664239,1.871065,1.878321014657111,1.7007452872033697,11.39763,11.686888,0.24336,0.2149,0.005899,0.000289,0.006188,45.722288,0.612007,854.591103,242.381782
12840,61112.2963,1457420820.63,1.1373042,-0.83500974,65.162731,-47.842534,1.0444062,163.64522,1.6878475,1.5648947,0.45982435,-0.27978897,0.0359549,1.6878475,1.5648947,1.6292672841610172,1.5105818137402636,11.763686,11.8593,0.20453,0.1881,0.003693,0.041366,0.045059,32.966511,0.502415,235.94621,60.005363
12841,61387.2316,1481175226.14,6.1579477,-0.37551571,352.824414,-21.515465,3.0362605,408.19922,1.944064,1.8101624,-0.39997086,-0.13314746,0.0865625,1.944064,1.8101624,1.7891873920539578,1.66595325238785,11.565796,11.726649,0.22844,0.20979,0.004955,0.00011,0.005066,53.819854,0.994458,430.065224,141.262024
12842,62359.7985,1565205010.15,6.0738748,-0.57663835,348.007391,-33.038944,0.25484392,441.04717,1.376034,1.237332,-0.094176441,0.36169791,0.0931172,1.376034,1.237332,1.2588165472548047,1.1319298767674943,11.979776,12.014343,0.15517,0.13913,0.001968,0.046114,0.048083,16.287055,0.967703,324.820869,83.787977
12843,62360.7682,1565288788.84,5.7270133,1.1491234,328.133691,65.839921,1.2581855,280.78903,1.8240079,1.1938382,0.43182328,-0.33834362,0.0606165,1.8240079,1.1938382,1.7197620304427947,1.1256078478893492,11.671357,12.015372,0.21759,0.13834,0.014192,0.050868,0.06506,59.312758,0.307544,417.357831,113.416034
12844,61448.0042,1486425977.95,2.8173279,-0.55753167,161.420998,-31.944212,0.61364779,338.829,1.5783236,1.3012772,0.46469253,-0.32091883,0.0725423,1.5783236,1.3012772,1.4715723356588937,1.2132642054795766,11.884826,11.992206,0.18285,0.1494,0.00313,0.018947,0.022077,20.949689,0.817553,384.041576,100.787012
12845,64441.2827,1745045242.87,6.0561948,0.060013455,346.994402,3.438518,2.0657392,142.56072,1.6605594,1.0345938,-0.17949782,-0.28963828,0.031426,1.6605594,1.0345938,1.6099646132229348,1.0030712584324573,11.781991,12.040272,0.20179,0.12303,0.015714,0.064713,0.080426,41.67769,0.474981,281.691192,96.732119
12846,64455.9629,1746313613.02,1.9158682,-0.15871877,109.771162,-9.093916,0.34624972,420.63292,2.1129284,1.820488,-0.29465467,0.0040881922,0.0890498,2.1129284,1.820488,1.9401577106867465,1.6716296824883863,11.236932,11.720245,0.25497,0.21062,0.0,0.0,0.007367,23.827286,0.940652,380.989517,98.490479
12847,63706.2175,1681535611.44,2.1006356,-1.1089566,120.357554,-63.538533,2.7415393,198.48659,1.8481573,1.3652201,-0.38238582,0.049168631,0.0433767,1.8481573,1.3652201,1.7713231222268409,1.3084632623309929,11.592718,11.962547,0.22564,0.16152,0.00784,0.039691,0.047532,25.169914,0.92104,173.228346,31.928654
12848,62064.9591,1539730885.52,4.8875456,0.65547878,280.035735,37.556168,0.43945158,207.49225,1.9099697,1.0585219,-0.14249346,-0.38833848,0.0452828,1.9099697,1.0585219,1.8272277444104654,1.0126655850855018,11.515452,12.038085,0.23432,0.12423,0.09,0.02332,0.11332,42.868021,0.904985,149.153024,47.436712
12849,62193.8929,1550870767.71,4.1947183,-1.0216479,240.339655,-58.536113,1.4038408,175.80789,1.0776207,1.0568031,-0.13685811,0.26163006,0.0385545,1.0776207,1.0568031,1.0376159662183275,1.017571182243459,12.033622,12.036955,0.12733,0.12484,0.001378,0.067208,0.068586,18.919829,0.166181,416.093658,130.730023
12850,64121.5414,1717419594.83,2.0507014,-0.49510525,117.496535,-28.367441,2.4227781,286.03482,2.1089315,2.0586512,-0.28396094,0.16879264,0.061702,2.1089315,2.0586512,1.9863686374780771,1.939010432148511,11.073101,11.240328,0.26491,0.25474,0.0,0.0,0.008129,23.993012,0.752587,261.713482,75.434583
12851,61026.0549,1449969559.07,1.9635677,-0.054662856,112.504142,-3.131951,0.96052937,167.75878,1.8532486,1.475734,0.099178158,0.19636439,0.0368352,1.8532486,1.475734,1.7874090487370018,1.4233062445744467,11.568129,11.911411,0.22817,0.17646,0.006123,0.008665,0.014788,47.618056,0.573086,222.586138,42.018862
12852,61544.2355,1494740364.9,2.8488018,-0.80955446,163.22432,-46.384054,2.6111567,477.62105,1.8912562,1.4499247,-0.48291382,0.020234326,0.1003545,1.8912562,1.4499247,1.7187699380618593,1.3176887334531195,11.668486,11.959134,0.21752,0.16271,0.006055,0.041409,0.047464,56.764165,0.862587,626.168421,184.624597
12853,61976.8026,1532114165.7,5.1694235,-1.3334693,296.186149,-76.402163,2.3211381,330.19685,2.054868,1.5662653,0.11414923,-0.019717507,0.0707802,2.054868,1.5662653,1.9190381216458623,1.462732798073206,11.29682,11.889277,0.25086,0.18168,0.009368,0.000505,0.009874,36.565224,0.681889,456.972728,121.769356
12854,64495.1916,1749702973.34,3.6975145,0.1908933,211.851976,10.93738,0.71896881,406.62275,1.9257891,1.525843,0.39557573,-0.44937313,0.0862466,1.9257891,1.525843,1.7728838364734207,1.404692960249964,11.590857,11.920775,0.22587,0.17401,0.00604,0.01403,0.02007,66.95133,0.752485,522.621613,173.479793
12855,61158.6821,1461428549.81,1.4407079,-0.43464583,82.546482,-24.903372,0.80840339,303.66258,1.9000323,1.3106922,-0.081752941,0.11495313,0.0653385,1.9000323,1.3106922,1.7835010688016364,1.2303058950997667,11.574236,11.994795,0.22755,0.15147,0.011593,0.024588,0.03618,24.654157,0.690654,328.749478,83.790762
12856,63269.9881,1643845393.33,0.31129472,-0.67119146,17.835874,-38.456438,0.84901698,479.35819,2.1103835,1.3149067,0.090795822,0.12286174,0.1006967,2.1103835,1.3149067,1.9173161517869888,1.1946131373766562,11.301338,11.998565,0.25053,0.14703,0.036357,0.028197,0.064554,48.635207,0.660721,520.299161,144.1693
12857,63833.4585,1692529235.35,2.5110187,-1.1317398,143.870774,-64.843914,2.7604626,499.84474,1.883055,1.844371,-0.052063793,0.0094524678,0.1047217,1.883055,1.844371,1.7045514408576437,1.6695344774985612,11.682746,11.722718,0.21546,0.21031,0.004378,0.001771,0.006149,20.358251,0.928245,388.783517,119.575439
12858,61364.6838,1479227096.43,0.23648201,-1.3895791,13.549421,-79.617018,2.0537311,389.02793,2.1938324,1.7478296,0.24822557,-0.090771794,0.0827124,2.1938324,1.7478296,2.0262374001916132,1.614306409496891,10.855146,11.777724,0.27565,0.20241,0.0,0.0,0.010291,25.048082,0.46438,668.511121,205.525001
12859,61433.4392,1485167563.8,5.7946806,-0.51102284,332.010742,-29.279452,0.4515581,194.40695,2.1275122,1.5101707,-0.43103641,0.28530276,0.0425116,2.1275122,1.5101707,2.0407563648935687,1.4485888579632005,10.739044,11.898578,0.28063,0.17978,0.018261,0.000307,0.018568,69.526397,0.899768,187.061467,45.513169
12860,61982.3949,1532597339.42,5.9300085,-0.65981544,339.76446,-37.80464,0.44858464,346.57916,1.8976279,1.8530914,-0.3828339,-0.019938439,0.074121,1.8976279,1.8530914,1.766679778338217,1.7252165736983822,11.600358,11.65558,0.2249,0.21858,0.00491,0.000389,0.005299,74.567596,0.901062,455.555785,178.159781
12861,63056.8116,1625426944.43,6.1189331,-0.31041807,350.589042,-17.785645,2.6002642,289.4185,2.1353467,1.1167141,0.26128182,-0.32796717,0.0624013,2.1353467,1.1167141,2.0099246962743806,1.0511226342157076,10.957498,12.030619,0.27088,0.12902,0.09,0.04247,0.13247,74.847973,0.857025,315.586441,82.803891
12862,61860.3022,1522048529.12,6.0878739,0.18509652,348.809481,10.605249,2.383091,187.87045,1.9537768,1.497923,0.1977945,0.23361132,0.0411234,1.9537768,1.497923,1.8766045083367122,1.4387564920113969,11.401555,11.903227,0.24306,0.17849,0.008355,0.00749,0.015845,63.026316,0.725867,202.373808,46.31629
12863,62768.6028,1600525699.25,0.84444492,-0.91993751,48.38313,-52.708537,1.6470172,227.37935,1.5960276,1.2365963,-0.17904916,0.16782363,0.0494745,1.5960276,1.2365963,1.520787438738863,1.1783005004618683,11.853146,12.002629,0.18947,0.14497,0.003988,0.065143,0.06913,26.976804,0.076147,328.061209,96.030762
12864,61660.22,1504761427.49,4.9473234,-1.2938754,283.460751,-74.1336,2.09165,183.78808,1.7955209,1.4866689,0.21952468,-0.2113217,0.040255,1.7955209,1.4866689,1.7260392132610451,1.4291389303993416,11.655173,11.90969,0.21869,0.1772,0.004933,0.034606,0.039539,32.164822,0.497621,309.771678,96.681813
12865,63630.1953,1674967295.18,1.9683948,-0.41159015,112.780714,-23.582378,0.67723156,198.74444,1.5979471,1.1795341,-0.15522783,0.063870236,0.0434314,1.5979471,1.1795341,1.5314348059066603,1.1304376568497085,11.845761,12.014596,0.19091,0.13894,0.004818,0.052486,0.057304,20.341689,0.779311,312.153419,108.070825
12866,62416.1835,1570076669.47,2.7615581,-0.15821445,158.225624,-9.06502,2.9264043,250.64466,1.780485,1.7141557,-0.4674412,-0.13420767,0.0543483,1.780485,1.7141557,1.6887066823934236,1.6257964460541798,11.702016,11.767175,0.21311,0.20403,0.004179,0.002328,0.006507,18.24298,0.976936,213.295272,42.041345
12867,61729.1248,1510714804.83,6.1029425,0.19770909,349.672848,11.327896,0.69685519,322.03542,1.6495392,1.4523228,0.0047640633,0.11776517,0.0691105,1.6495392,1.4523228,1.5429080789262088,1.3584403337178848,11.835812,11.942706,0.19251,0.16797,0.003241,0.043283,0.046523,58.956108,0.766864,280.346262,74.853861
12868,63790.5923,1688825593.63,0.79553541,-0.81316606,45.580821,-46.590983,0.82808572,398.87892,2.106986,1.1291739,-0.16892418,-0.26178268,0.0846931,2.106986,1.1291739,1.942472086887484,1.0410077627435015,11.229155,12.032825,0.25545,0.12776,0.09,0.038722,0.128722,47.424332,0.676287,453.851595,130.670044
12869,61840.8513,1520367972.45,3.7255309,-0.10998845,213.457197,-6.301874,2.0198543,253.80255,1.4165238,1.2327083,-0.44321358,-0.37333274,0.0550074,1.4165238,1.2327083,1.342667190183956,1.168435708229852,11.950148,12.005559,0.16592,0.14372,0.002319,0.045402,0.04772,54.635916,0.434117,352.517006,116.369518
12870,62818.1416,1604805848.0,1.3650821,0.089176808,78.213443,5.109455,2.39058,392.46805,2.0063152,1.1671798,-0.47248125,-0.1369803,0.0834046,2.0063152,1.1671798,1.8518613580407233,1.0773258207412773,11.454224,12.025486,0.23875,0.1323,0.062476,0.038384,0.10086,49.805097,0.730998,390.169906,122.863394
12871,61127.8622,1458765715.28,4.0295245,-0.73008438,230.874747,-41.830754,2.2561891,237.20112,2.1212924,1.1033503,-0.16945885,0.16629693,0.0515359,2.1212924,1.1033503,2.017327576390812,1.0492749545555695,10.912413,12.030933,0.273,0.12879,0.09,0.053468,0.143468,15.709412,0.632977,340.066241,82.954132
12872,62086.52,1541593743.8,0.50668691,-0.1167305,29.031021,-6.688165,0.58170955,368.06319,1.6067946,1.1988668,0.097578995,0.13339911,0.0784809,1.6067946,1.1988668,1.4898684138247662,1.111625454618265,11.873287,12.018798,0.1853,0.13658,0.00426,0.06473,0.06899,34.186302,0.835525,327.110156,103.568985
12873,61605.9621,1500073541.3,5.1669667,0.49093279,296.045385,28.128377,0.63822554,220.08631,1.5121106,1.2425067,-0.026728949,-0.37752756,0.0479401,1.5121106,1.2425067,1.4429361582924396,1.1856658133013662,11.902115,12.000458,0.17903,0.1459,0.002993,0.024289,0.027283,56.472558,0.803154,341.481881,128.312097
12874,61894.8821,1525036230.67,4.9091505,0.89917189,281.273605,51.518754,1.3911621,135.1988,1.3995435,1.0327089,0.49313584,-0.34856737,0.0298379,1.3995435,1.0327089,1.3589940308948945,1.0027878595785213,11.942412,12.040333,0.16805,0.12299,0.003428,0.045982,0.04941,66.671578,0.17867,284.296802,88.94819
12875,64450.8021,1745867715.34,1.0398404,0.62015466,59.578466,35.532245,1.4306359,408.40284,1.8653537,1.8105108,-0.40125012,-0.11126292,0.0866033,1.8653537,1.8105108,1.7166832085513737,1.6662113406486472,11.666099,11.726423,0.2173,0.20983,0.004436,0.001403,0.005838,24.26325,0.139702,608.782173,175.282267
12876,62295.3874,1559639887.51,0.26029991,0.15403635,14.914086,8.825633,0.69148911,330.79775,1.964069,1.1895082,-0.082289539,-0.3023358,0.070903,1.964069,1.1895082,1.8340307518167658,1.1107525338153637,11.488545,12.018993,0.23574,0.13647,0.037962,0.046292,0.084255,22.077525,0.770297,337.49271,105.062648
12877,61521.6811,1492791665.79,3.1112348,-0.48054666,178.260623,-27.533295,0.92066375,249.36529,1.9499273,1.3769689,-0.31623206,0.42578548,0.0540811,1.9499273,1.3769689,1.8498835606424728,1.30632159036183,11.45761,11.963328,0.23842,0.16125,0.011737,0.037304,0.049041,72.533114,0.605292,247.269522,82.23144
12878,64456.8008,1746386004.8,4.3084616,0.26488105,246.856666,15.176566,2.5888257,213.48767,1.9179813,1.3650633,-0.28154925,-0.43765497,0.046549,1.9179813,1.3650633,1.8326722755856746,1.3043472657056097,11.490665,11.964046,0.23553,0.161,0.010799,0.025123,0.035922,73.03481,0.851075,184.144787,45.862918
12879,62049.8979,1538429594.4,5.5282163,1.0524869,316.743462,60.303057,0.74216133,184.04615,1.3957541,1.2359959,-0.24226691,-0.4548665,0.0403099,1.3957541,1.2359959,1.341671440418149,1.188103548829931,11.950369,11.999858,0.16579,0.14621,0.002282,0.037679,0.039961,60.002582,0.737009,163.151506,37.135187
12880,63596.2751,1672036589.27,5.1953817,-0.54614769,297.673444,-31.291958,0.80512375,232.13273,2.1319947,1.3945936,-0.23990916,0.014562776,0.0504729,2.1319947,1.3945936,2.029557160296373,1.327586521009408,10.831095,11.955456,0.27671,0.16398,0.032277,0.001613,0.03389,18.550696,0.693022,316.783655,98.70477
12881,64098.1899,1715402022.38,2.0445846,0.014462945,117.146068,0.828666,2.1202611,280.52084,1.7788829,1.3301405,0.19191213,0.4844169,0.0605609,1.7788829,1.3301405,1.6773038499878703,1.254185861067522,11.713639,11.981424,0.21146,0.15458,0.006134,0.01778,0.023914,52.814682,0.522231,611.04962,198.817615
12882,62233.5028,1554293059.84,5.7978884,1.2007268,332.194535,68.796578,2.0846877,376.50169,2.1227758,1.1617709,0.33421072,-0.10169765,0.0801868,2.1227758,1.1617709,1.965193222651941,1.075527758962697,11.153094,12.025785,0.2602,0.13207,0.09,0.056734,0.146734,22.704069,0.49157,772.496652,225.262382
12883,63257.8904,1642800146.23,4.4785576,-0.6562045,256.602449,-37.597748,1.126189,144.28901,1.9370477,1.3590716,-0.2266783,0.1492766,0.0317983,1.9370477,1.3590716,1.8773510402799667,1.3171872236677284,11.399628,11.959322,0.2432,0.16265,0.012993,0.018276,0.03127,65.724277,0.430103,563.879278,198.495336
12884,61185.5185,1463747212.61,5.7273828,-0.24036591,328.154862,-13.771952,2.3974739,288.64503,1.6388049,1.3412458,0.3851817,-0.17464432,0.0622415,1.6388049,1.3412458,1.542779913413108,1.2626561460669874,11.835918,11.97854,0.19249,0.15566,0.00361,0.036522,0.040132,33.190132,0.735685,286.549171,86.245495
12885,62377.2663,1566714223.43,0.79539891,-0.70541393,45.573001,-40.417241,2.2793054,302.4587,1.9833373,1.178611,0.29424632,-0.2809459,0.0650907,1.9833373,1.178611,1.8621300187106795,1.106582790271031,11.432336,12.019741,0.24053,0.13595,0.050546,0.053384,0.10393,43.505385,0.650702,669.951768,203.669929
12886,64135.0584,1718587467.85,1.0661247,0.2102651,61.084446,12.047303,2.693526,457.67832,2.0510228,1.4982347,-0.22708945,0.23508991,0.096416,2.0510228,1.4982347,1.8706611286283257,1.3664837927945612,11.418287,11.939029,0.24193,0.16902,0.010234,0.016506,0.02674,26.210814,0.901286,520.239647,149.666383
12887,63804.7087,1690045247.34,2.6510386,0.9297187,151.893323,53.268958,0.53115377,456.64636,2.0180819,1.8275397,-0.32695332,0.27986029,0.0962117,2.0180819,1.8275397,1.8409600163069635,1.6671412175658595,11.474945,11.72552,0.23692,0.20996,0.005482,0.000209,0.005691,58.506229,0.862223,430.12205,109.731389
12888,61855.5448,1521637488.62,0.75609851,0.51894962,43.321254,29.733623,0.6574611,330.04395,1.8762976,1.515088,0.41223761,0.4880937,0.0707489,1.8762976,1.515088,1.752322632677062,1.4149796881355199,11.620475,11.916443,0.22269,0.17535,0.005501,0.037963,0.043464,45.131914,0.791546,367.830254,106.745279
12889,61064.8891,1453324837.87,5.8910317,0.50501059,337.531253,28.934975,2.5660226,460.38359,1.8075614,1.6772999,0.23228143,-0.25442499,0.0969514,1.8075614,1.6772999,1.6478045122980085,1.5290558559709222,11.744825,11.847106,0.20719,0.1906,0.003818,0.034401,0.038219,57.350302,0.838882,461.901472,138.143667
12890,63165.5915,1634825521.43,4.2142644,-0.033093414,241.459564,-1.896113,0.74599443,288.31965,1.6364808,1.1367848,0.3797521,-0.25380519,0.0621743,1.6364808,1.1367848,1.5406895174363415,1.0702431858295973,11.837908,12.026946,0.19219,0.13141,0.00648,0.069361,0.075841,34.183004,0.734413,353.031044,99.231348
12891,61419.5331,1483966076.75,4.8367074,0.599513,277.122921,34.349565,1.9375207,422.25882,1.7899995,1.3040041,0.13723716,0.025375025,0.0893745,1.7899995,1.3040041,1.6431442900196331,1.197020943903722,11.750259,11.998125,0.2065,0.14733,0.006393,0.050453,0.056846,37.609766,0.35856,644.188665,188.112317
