distmean,diststd
338.8272222909367,113.40400815202648
283.5500815055574,65.3465072647187
510.9117713097736,154.2895748028839
461.7859414196108,152.1626052659887
81.28486119622883,18.07120830697054
311.13052594870794,84.06007743190787
453.8114379507556,168.23556942401095
171.56234448683847,55.525651442308025
396.0054874466187,155.38553611748972
432.81121361569427,116.72465919147194
176.54285822884515,43.9164724380883
369.1371337099621,130.9002670832005
441.0381038052586,125.56918516301937
289.7284092970222,92.95412899179108
571.2809857716505,225.36368231835357
294.4865262216638,99.51781610300097
421.50431079588395,118.41759584465439
165.19223962357785,39.71914360751757
392.5072115142516,134.2661238713167
178.6610622839153,59.829462218708116
613.6127078176621,177.53815248235875
238.34221773276326,70.00468835275348
364.66170679543814,125.8593423039288
328.478411155249,112.28255915796193
384.71022422903286,111.81057384457682
364.25377700613694,200.99135130591998
401.6830784801649,130.7575455635368
394.9430016821785,130.7497742030114
452.75314293239853,142.786248927012
224.66297815035676,48.26247527388781
243.04485044270788,58.486823768690776
250.8598756742805,88.03297881237624
340.7717990306136,106.32109926444771
239.3475803777307,62.38172031663948
432.9282191116565,124.44602498362855
513.538052149785,154.19326280408706
183.2116888180345,34.884066312528034
479.5372454913388,222.62310684605978
257.80898027108015,73.30867296480513
338.9935566505105,123.92788022011567
431.3859594406358,143.26922961273067
602.6913408807102,209.97037167993344
266.3846712101125,65.18917468177773
468.6018230044776,142.27099194730908
394.3872755263091,118.74973426761066
394.4754090222531,135.1012490060279
308.9206786171542,105.58122174612059
539.8345773236059,164.2620697715655
468.597428648447,120.19517096373993
399.7171016768128,104.5324542693126
614.7620881093562,197.06586447995593
588.527720845018,173.89229706656928
212.65466405266758,43.00050817312798
337.87618891262326,83.76939515424002
505.4500297069093,153.17117344792632
279.93212159140296,79.82650935590163
212.1109839643214,47.02280338912521
593.1307982384485,202.99896159454303
454.02942539570324,129.51035234816396
421.8262652324064,112.34237820198018
402.25576561253627,151.31460038850605
490.7034038314241,133.16913299529838
495.8831627867572,156.80853128642752
236.7384482638396,67.56026598840758
315.6033122275462,106.15614734786865
418.8442320476458,127.3958122881103
378.58721096412046,93.09954025772174
691.5057700087829,202.6537524983438
474.03173702986436,132.80550570921054
358.89707136076925,130.46065383101484
566.4182863423612,303.38131350157676
478.940758840963,145.84162791791832
237.28224731413792,48.740935363291776
337.29721544600625,92.12670432824889
444.1088124571157,119.51392564097047
458.1629035968482,121.33032935652265
309.4014239547971,70.72387503419213
763.0789246376837,231.66807056681134
189.88206907597166,54.1995632065611
424.3751575398313,135.27352739293858
194.1326911467126,63.446671790732985
207.34368714432603,55.984409318965
292.0098996275192,74.40180114408476
88.12787705072833,27.789999929369404
174.85642881566193,32.051451004936865
353.9981069788574,87.27666317704622
608.03220940245,183.37575864859832
327.31230343183915,98.81560744450287
249.81815737379205,69.98812917323411
342.60744419198954,88.24123779597376
333.22418772189314,124.13595527080786
177.39284470040104,57.879514104215524
409.2488326846241,142.00769663575284
381.70694988507233,123.97864141638874
530.8486418303978,189.74594842103147
421.63423210567794,106.07472255669683
481.65166540576195,144.41376290161597
481.3730630069283,129.0390120908442
407.25933747444236,136.2335668741119
389.5681451008601,108.23386645868962
362.9514320288537,96.74624077286033
454.8977367235579,144.17196415786404
446.94042489109415,147.25607837843017
303.22340549628154,76.14152665234576
316.6870778583956,96.50162157073798
134.5848573995014,32.20970794377604
617.3039298882908,207.2726723619615
351.26586250809453,99.45920562626559
53.54488881341134,11.108153745161982
376.6711064762499,138.78275221223117
348.3502762520486,93.47480454894666
357.5730605046076,89.58160967469833
283.96232394344486,94.9311577539112
151.0563120150967,47.5599242333794
302.0146239013292,108.65513204370043
410.1028183221924,126.1106509330076
433.4421906422263,131.27289029105435
371.86123300926954,126.81745748935421
268.3149322580889,66.82485860888292
522.1875530653649,174.55612710996772
477.14436110572325,148.14250411160904
226.70872915066312,56.35472619644114
224.72111288000977,50.34947344370755
329.8711190181396,81.4743122400516
351.3074488409635,78.71001850243256
281.64892250628145,97.28282863828136
315.0560259044501,75.99982581177592
406.54023306640767,118.2725591793027
392.32324139487673,135.6164297503234
673.7161564170926,219.6009773386662
431.5603712946712,143.54076098363572
469.91265203057407,244.57557806899982
412.66224909944833,108.36599254864615
251.40781982131216,71.42025817068985
505.27489598700663,172.55187574864462
625.6626436599227,195.2066039549051
390.21407282417584,131.37100582791646
355.092902376716,128.69280170474326
247.4714985112073,47.036105442151616
154.60893862007075,39.78238752195821
497.4349737707679,145.7432865818334
273.91202293699973,56.60625382614535
363.0978076811553,120.53708606901073
539.5267713706166,226.57263891267667
329.01951225746245,115.12743534389442
260.4857592823139,87.10878184143921
265.8392437110467,57.56290218320603
101.00344469874297,17.78830176764956
484.87447945858895,146.6245679913248
648.3308669680248,176.67928876144697
164.87828323871724,42.73974300287
288.7326785212382,64.41260727809433
592.2208987236043,184.61582330136565
308.960112193224,66.92347065914227
522.4675391043884,164.32168300579448
413.97662768786495,147.56962276698692
295.20792107014074,93.08159586231231
113.43271630125798,15.488624323483954
383.1273228065598,101.50879805284315
505.06716419250904,278.60991447546814
342.6145025654521,101.53100879180865
361.36439079534694,86.94086171072807
372.9438522173551,108.94681599179013
259.69263064161174,71.28645736321806
529.0732990432159,150.22691826055174
113.16225401547624,14.825779575669236
246.38980956468444,59.35845777514554
236.29999971752082,79.83011182662028
320.17004607419415,102.44931367668299
240.5582071876056,61.74193495534189
