coinc_event_id	ifos	snr
0	H1,K1,L1,V1	9.512454495740023
1	H1,K1,V1	8.227068004593029
2	H1,K1,L1,V1	8.474185778239727
3	H1,K1,V1	11.85532245681668
4	H1,K1,L1,V1	8.203257485209809
5	H1,K1,L1,V1	8.155011776231936
6	H1,K1,L1,V1	8.387267853752876
7	H1,K1,L1	9.533225185431274
8	H1,K1,L1	12.67803014309608
9	H1,K1,L1,V1	8.294921111132874
10	H1,K1,L1,V1	8.12191663286927
11	H1,L1,V1	9.037965279237602
12	L1,V1	9.045928510030336
13	H1,K1,L1,V1	8.293331767950196
14	H1,K1,V1	12.56701097671997
15	H1,K1,L1,V1	11.1001315387389
16	H1,K1,L1,V1	8.356416132613576
17	H1,K1,L1,V1	8.063527997612693
18	H1,K1,L1,V1	11.34013980718422
19	H1,L1,V1	11.68256752846814
20	K1,L1,V1	18.50946922512173
21	H1,K1,L1,V1	13.47593234572315
22	L1,V1	14.04330597030654
23	H1,K1,L1,V1	11.6105783865631
24	H1,K1,L1,V1	16.00798498665173
25	H1,L1,V1	8.789689100898928
26	K1,L1,V1	9.070652856953346
27	H1,K1,L1,V1	16.0324546926189
28	H1,K1,L1,V1	8.881533215307687
29	H1,K1,L1	26.88681896648668
30	H1,K1,L1,V1	9.783393424374706
31	H1,L1,V1	8.100338333159037
32	H1,L1,V1	8.566879762651769
33	H1,L1,V1	8.011084837770703
34	K1,L1,V1	8.140760249786455
35	H1,K1,L1,V1	9.469318404030288
36	H1,K1,L1,V1	11.39546744990854
37	H1,K1,V1	8.889816062890894
38	H1,K1,V1	8.707661024310671
39	H1,K1,L1,V1	13.96820257434292
40	H1,V1	9.176082505534154
41	H1,K1,L1,V1	8.997322609174981
42	H1,K1,L1	9.1913217412098
43	H1,K1,L1,V1	12.50027994839994
44	H1,K1,L1	10.55879610186796
45	K1,L1,V1	9.08810036074509
46	H1,K1,L1,V1	8.422451264084824
47	H1,K1,L1	10.32882130093199
48	K1,L1,V1	12.14111336966391
49	H1,K1,L1,V1	9.441126763873108
50	K1,L1,V1	9.88270936179736
51	H1,K1,L1,V1	9.634057638982783
52	H1,V1	8.114129347460278
53	H1,L1,V1	8.322653822835669
54	H1,K1,L1,V1	8.260654408821058
55	H1,K1,V1	9.680233920246728
56	H1,K1,L1,V1	8.184494264747604
57	H1,K1,L1,V1	8.365360652060676
58	H1,K1,L1,V1	8.454960826222781
59	H1,K1,L1,V1	13.23257346669372
60	H1,K1,L1,V1	8.077247393634416
61	K1,L1,V1	8.688500002430638
62	H1,K1,L1,V1	9.717400442817643
63	K1,L1,V1	8.693431850626029
64	H1,L1,V1	9.596042104549367
65	H1,L1	9.548091206820443
66	H1,K1,L1,V1	10.42671889155609
67	H1,K1,L1	8.031533647414314
68	H1,K1,V1	11.05898196059728
69	H1,K1,L1,V1	9.013269447923134
70	H1,K1,L1,V1	14.37612426568837
71	L1,V1	30.85222894067241
72	K1,L1,V1	8.554334587057717
73	H1,K1,L1,V1	8.621678061039582
74	H1,K1,L1,V1	13.14581804613543
75	H1,K1,V1	34.08341715892244
76	H1,K1,L1,V1	8.025925233018532
77	H1,K1,L1,V1	9.043927577551884
78	L1	8.745855225138797
79	K1,L1	8.067779941825854
80	K1,L1	8.549823773732642
81	H1,K1,L1,V1	8.521416621173731
82	H1,L1,V1	8.269717732631618
83	H1,K1,L1,V1	10.97208178514355
84	H1,K1,L1,V1	8.631936702950908
85	H1,K1	8.424116567044846
86	H1,K1	14.43865370040401
87	H1,L1,V1	9.480372429213134
88	H1,L1	11.47399622071258
89	K1,L1,V1	93.82436037596497
90	H1,L1,V1	13.24902870426589
91	K1,L1,V1	18.91529074064464
92	H1,K1,L1,V1	8.979543849598382
93	H1,K1,L1,V1	8.57660626242286
94	H1,L1,V1	8.600828029121697
95	H1,K1,L1,V1	11.83139331637392
96	H1,K1,L1,V1	8.033691417840492
97	H1,K1,L1,V1	8.196800797420245
98	H1,K1,L1	8.070797561621189
99	K1,L1,V1	13.3990049417849
100	H1,K1,L1	8.358615115748925
101	H1,K1,L1,V1	12.81730914892906
102	H1,K1,L1,V1	22.90415040744587
103	H1,K1,V1	9.560006648312447
104	H1,L1,V1	9.771724888512004
105	H1,K1,L1	13.71330249243176
106	H1,L1,V1	8.399257311858133
107	H1,L1,V1	9.211013503192625
108	H1,K1,L1,V1	10.05484139168494
109	H1,K1,L1,V1	12.48027379148471
110	H1,K1,L1,V1	8.160265967619168
111	H1,K1,V1	8.842465647197947
112	H1,K1,V1	8.0980645150449
113	K1,L1,V1	121.7399410075855
114	K1,L1	13.3661860972983
115	H1,L1,V1	9.92740515549503
116	H1,K1,L1,V1	8.878298829958529
117	H1,K1,L1,V1	10.56684150067828
118	H1,L1,V1	8.242264687467287
119	K1,L1,V1	8.337544203412056
120	H1,L1,V1	11.17119178812157
121	H1,K1,V1	12.51565425464162
122	H1,K1,L1,V1	10.32618612654925
123	H1,K1,L1,V1	9.51080898114477
124	L1,V1	12.39953606705367
125	L1,V1	8.125588314734049
126	H1,L1,V1	9.246133195373648
127	H1,V1	8.093640115379168
128	H1,K1,L1,V1	8.22509483188969
129	H1,L1,V1	16.28050829117768
130	H1,K1,L1	8.198662578478981
131	L1,V1	9.645275698742628
132	H1,K1,L1,V1	10.43845423071909
133	H1,K1,L1,V1	8.220979454307104
134	H1,K1,L1,V1	8.088879939797778
135	H1,K1,L1,V1	8.081572125964845
136	H1,K1,L1,V1	8.671306729219625
137	H1	9.732500114773632
138	H1,K1,L1,V1	8.082344438266189
139	K1,L1,V1	33.62661340097571
140	H1,K1,L1,V1	8.135943591730147
141	H1,K1,L1	9.933644969615287
142	H1,K1,L1,V1	9.061166621640545
143	H1,K1,L1,V1	8.275480640216886
144	H1,L1	8.017409571316264
145	H1,K1,L1	12.49480911115521
146	H1,K1,L1,V1	10.70279237078498
147	L1,V1	20.78723665769504
148	H1,K1,L1,V1	10.35262961919287
149	H1,K1,L1,V1	8.489811143156311
150	K1,L1,V1	11.05637514813993
151	H1,K1	17.29545970627574
152	L1,V1	15.86084382114622
153	H1,K1,L1,V1	9.587412974564447
154	K1,L1,V1	9.277157365494899
155	K1,L1,V1	16.29575754559517
156	H1,K1,L1	8.65769588137857
157	H1,K1,L1,V1	10.63323570021784
158	K1,V1	22.6055167296606
159	H1,L1,V1	8.079825252727005
160	H1,L1,V1	9.595132263179165
161	H1,K1,L1,V1	9.104199198908196
162	H1,K1,L1,V1	8.389871075938956
163	H1,K1,L1,V1	9.583779659773228
164	H1,K1,L1,V1	9.099794016123004
165	H1,K1,L1,V1	8.208457310627713
166	H1,K1,L1	8.423833493923659
167	H1,K1,L1,V1	9.901338645125392
168	H1,K1,L1,V1	9.637541178871142
169	K1,L1,V1	9.23592848115446
170	K1,L1	8.312719004159497
171	H1,K1,L1,V1	8.639397626642531
172	H1,L1,V1	16.86694543036826
173	H1,K1,L1,V1	8.583359893104895
174	H1,L1,V1	13.09558113945199
175	H1,K1,L1,V1	8.138983643128398
176	H1,K1,L1,V1	8.938809471668234
177	H1,K1,L1,V1	9.950807893081532
178	H1,K1,L1,V1	12.72569374236524
179	H1,K1	9.722809402636521
180	H1,L1,V1	11.84490384934148
181	H1,K1,L1	9.455179177606844
182	H1,K1	8.424399575910456
183	H1,K1,L1,V1	11.63518552046294
184	H1,L1,V1	14.05481065816533
185	H1,L1,V1	12.61274544848656
186	H1,K1,V1	13.36741618787624
187	H1,K1	10.59624086856652
188	H1,L1,V1	21.29849914157552
189	H1,K1,L1,V1	29.0543626505596
190	V1	11.80662678726867
191	H1,K1,L1	9.484327795696171
192	H1,L1,V1	8.91945793160045
193	H1,K1,L1	10.0031247405297
194	H1,V1	8.006917097803582
195	H1,K1,L1,V1	9.050430324874759
196	H1,K1,L1,V1	14.53495329579455
197	H1,K1	11.8586188457419
198	H1,K1,L1,V1	12.68210878278572
199	H1,K1,L1	8.668944479594382
200	H1,L1,V1	9.108720215648079
201	H1,L1,V1	14.85476047063945
202	H1,K1,L1,V1	8.888131942902087
203	H1,K1,L1,V1	9.215723759153754
204	H1,K1,L1,V1	9.075402654155246
205	K1,L1,V1	8.162099691748317
206	H1,L1,V1	8.270798241816639
207	H1,K1,L1	8.858200076934246
208	H1,K1,L1,V1	9.377316290377237
209	H1,K1,L1,V1	8.986213948559158
210	H1,L1	8.470875668443274
211	H1,K1,L1,V1	10.2095554144646
212	H1,K1,V1	9.051592285123627
213	H1,K1,V1	8.310978406324194
214	H1,K1,L1,V1	8.51426582860006
215	H1,K1,L1,V1	17.70916017997554
216	H1,K1,L1,V1	8.694444385604616
217	K1,L1,V1	8.977842010877385
218	H1,K1,V1	9.589006769977075
219	H1,K1,L1,V1	9.897877956366008
220	H1,K1,V1	10.30782258467006
221	K1,L1,V1	9.694217472494964
222	H1,K1,L1	9.287373804724826
223	H1,K1,L1,V1	12.00998093354179
224	H1,V1	11.42875871261685
225	H1,K1,L1,V1	18.70454861909095
226	H1,K1,V1	16.64881581848909
