simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
55	5.5832084	-0.75392439	1.3962222	391.57728	12.165786	1.9906888	-0.38091919	0.15067285
56	2.4931975	1.0190661	2.5961795	936.70698	20.514532	1.3897246	0.34777123	0.37396619
57	3.4087444	-0.2197888	2.1260429	365.37218	14.755086	1.1049944	-0.31855956	-0.34694904
58	4.3381247	-0.24225395	1.9462315	687.44549	14.524779	2.1684408	-0.57379532	0.11950846
59	5.74982	0.45857057	2.3949065	614.29616	14.442197	1.5856802	0.43616197	-0.078456275
60	6.2393124	0.52221983	1.1943671	855.97057	8.5637426	2.3407044	0.12077654	0.31740487
61	5.7922277	-0.12954083	2.7304545	852.50693	16.680149	2.0079691	0.70585161	0.18035586
62	2.9625851	-0.14867706	2.7910674	976.58405	13.820054	1.3479271	0.25980106	0.17280804
63	1.0083888	0.38801874	2.1343201	327.41773	3.5746696	1.9657426	0.16153163	-0.32542783
64	5.0388654	1.2641527	0.40001127	775.03922	9.6614609	1.6183127	-0.11747317	-0.25760618
65	5.5583069	0.60185379	1.5490119	383.2219	19.312687	1.2270762	-0.86265731	0.45597571
66	6.2714772	-0.76663236	2.3331334	923.79774	14.390242	2.0657556	-0.20819227	0.26831001
67	0.97329805	-0.32382916	0.67008239	569.14528	16.884535	1.3503549	-0.46408775	0.093010299
68	2.4600365	-0.37588379	0.72528348	358.26937	15.473611	1.704815	0.22136155	0.25376636
69	4.7694876	0.072831573	0.52015025	925.79584	14.599349	2.1349475	0.37058446	0.27233806
70	2.684276	0.46858548	1.1630172	130.68102	8.1892347	1.388405	0.29092658	0.091018982
71	2.2371256	1.2361478	2.131392	299.96272	17.745983	1.5782166	-0.27959952	0.43431833
72	4.3366219	-0.76806316	2.0579364	431.92871	18.88097	1.8922821	0.38187298	-0.44831833
73	1.2952757	-0.68239387	0.23283297	249.23441	15.600107	1.8238192	-0.38786483	0.23016123
74	0.78379249	-0.98002815	2.4185895	310.49458	17.769644	1.6888335	-0.59666181	-0.4268932
75	5.0223064	-1.1269596	0.25410157	767.72129	16.189104	1.6042742	-0.46469432	0.24496698
76	3.0823998	-1.1173176	0.95466699	885.59024	7.11133	1.9850516	0.31390318	0.48428234
77	2.8665962	0.2119256	0.72015152	585.66469	17.079418	2.1191485	0.73718023	-0.29315412
78	3.1797447	0.53599647	2.8640316	669.60553	12.145316	1.825184	-0.017347312	0.34917983
79	2.0303672	-0.25344945	0.28586752	760.98271	9.0131912	1.2606027	0.57964909	-0.29698294
80	4.8467233	0.65902835	0.092304823	312.19225	2.6562169	1.4787204	-0.41100094	0.18365201
81	0.45681013	0.51281169	1.7737369	460.8205	4.9334426	2.1055038	0.31275025	-0.28822893
82	3.6536658	-0.12966873	2.653988	847.31893	12.805296	2.3240249	-0.77617013	-0.065628521
83	2.602997	-0.9125566	0.60545873	835.15067	15.558438	1.9337687	-0.94283086	-0.49198863
84	2.8047711	0.92640821	2.0656892	931.61228	19.537596	2.1413786	0.57361782	-0.34300601
85	1.3997199	0.10807937	2.7734666	952.16822	19.257204	1.8644941	0.80888718	0.44778472
86	0.39143197	-0.0031675948	0.47819206	754.98428	5.9835787	1.8341166	0.49294221	0.091733709
87	1.6571444	-1.3392527	0.83854272	797.62839	5.2488079	1.7247969	-0.59020591	-0.2369332
88	5.935475	-0.74386671	2.7163449	839.30072	12.720477	2.3097794	0.80072379	-0.29437643
89	3.614272	1.481122	2.5763136	848.9355	7.729444	1.8179231	-0.15893562	-0.01255913
90	2.5180081	0.19274342	0.61938582	606.94264	9.0194063	2.0520337	-0.68521243	-0.017587094
91	3.4067886	0.63864754	2.1623378	502.66102	7.6892805	1.374305	0.17119731	-0.29276687
92	3.0117306	0.99855929	0.72064754	193.38272	9.4165478	1.3236765	-0.27552602	0.14288881
93	1.2942164	0.93453544	0.99402949	689.50566	18.641514	1.9645594	0.48277959	0.11127729
94	0.50942776	0.2790114	1.2919772	557.20498	14.353896	1.5092601	0.92682821	0.15531732
