simulation_id,mjd_time,gps_time,longitude,latitude,ra,dec,inclination,distance,mass1,mass2,spin1z,spin2z,radius2,compactness2,mej_tot,mej_dyn,mej_wind,phi,costheta,distmean,diststd
2701,61664.999,1505174330.84,5.2851437,1.17142,302.816428,67.117422,2.5775749,1247.2639,8.1238108,1.739227,0.49458508,0.016930341,11.638761,0.22067,0.0,0.060925,0.0,25.503319,0.845114,1063.731322,242.202448
2702,63138.1037,1632450577.32,1.6160415,0.7600351,92.592357,43.546804,0.68381372,1003.7208,7.2437946,1.5929267,-0.36999908,-0.034965787,11.797195,0.1994,0.0,0.060526,0.0,20.98662,0.775169,1135.956041,319.714776
2703,64161.3118,1720855760.88,2.6756332,0.13159165,153.30249,7.539646,1.5536687,743.11694,8.3658561,1.6687495,-0.42624529,0.0021076802,11.723675,0.2102,0.0,0.061538,0.0,58.303757,0.017127,1845.407805,616.722178
2705,61918.7676,1527099942.63,6.2557312,0.25382578,358.426996,14.543146,2.7268586,254.08311,6.4754526,1.3854076,0.18945369,0.033071135,11.930031,0.17149,0.0,0.091969,0.0,74.376583,0.915224,257.729791,32.759597
2707,63872.9068,1695937569.74,6.1972249,0.15179856,355.074831,8.697417,1.0952309,1923.6295,59.274991,1.8293142,0.68000364,0.011716692,11.495184,0.235,0.0,0.565278,0.0,36.255611,0.457841,3456.318258,950.035105
2708,63428.2765,1657521509.19,5.5438058,-1.1483569,317.636675,-65.796004,1.0211236,695.97502,7.7978462,1.298079,0.64373008,0.039123935,11.966309,0.16019,0.049441,0.144309,0.0,49.400876,0.522408,1346.103955,471.890676
2709,63957.6992,1703263625.31,0.23489538,0.49403564,13.458514,28.306157,1.2144509,753.35223,13.488186,1.3974775,-0.80232712,-0.0033901706,11.926022,0.17304,0.0,0.189884,0.0,59.602684,0.348852,1321.209784,497.897543
2710,62844.8061,1607109664.59,6.2639466,-0.96498158,358.897703,-55.289372,2.329327,1182.0581,53.951148,1.6339718,0.76361684,-0.017880106,11.758778,0.2052,0.0,0.672037,0.0,25.782974,0.687856,1148.12167,332.183163
2711,61055.2826,1452494835.01,3.8337697,-0.6122397,219.658823,-35.078751,2.3935829,1548.9571,51.432369,1.6727164,0.92805886,0.0082780103,11.718989,0.21078,0.0,0.629531,0.0,20.520652,0.733044,1663.930217,552.764303
2712,62780.7998,1601579523.9,1.0009204,-0.32355431,57.348515,-18.538296,2.4261959,2425.388,17.131261,1.9602514,-0.31496814,-0.0037831376,11.169718,0.25916,0.0,0.082721,0.0,52.537453,0.754833,2501.908849,663.979695
2713,63888.0546,1697246332.81,0.77509023,1.1229591,44.409399,64.340817,0.58500657,1400.7035,6.7540327,1.7869188,0.2782036,0.034372209,11.568957,0.22809,0.0,0.032557,0.0,43.580098,0.833708,1887.974923,603.60527
2714,62150.1315,1547089780.12,2.0916139,-0.49472148,119.840649,-28.345453,2.57223,552.52773,6.9584379,1.5862402,-0.5161141,-0.039179039,11.802297,0.19847,0.0,0.055648,0.0,45.040847,0.842245,610.620791,128.544666
2715,61503.5837,1491228045.66,2.9740383,-0.44834281,170.399843,-25.688151,0.94324854,1005.5062,14.861963,1.6487173,0.9775126,0.026807883,11.74405,0.20731,0.172216,0.187974,0.0,71.539024,0.587162,1654.738861,506.841412
2716,62815.0776,1604541126.54,2.847876,-0.5238014,163.171275,-30.01161,2.2362476,2934.2114,15.392401,2.0598576,0.67906814,-0.042348924,10.412923,0.29212,0.0,0.050349,0.0,41.017807,0.617414,3036.427074,773.228944
