coinc_event_id	simulation_id	far	snr	searched_area	searched_prob	searched_prob_dist	searched_vol	searched_prob_vol	offset	runtime	distmean	diststd	log_bci	log_bsn	area(20)	area(50)	area(90)	dist(20)	dist(50)	dist(90)	vol(20)	vol(50)	vol(90)
0	0	0.0	9.512454495740023	3.130958715533881	0.043540778157132434	0.19647573730961257	121682.46307197756	0.00812511293769676	1.639844750859438	4.122760631958954	1458.582877772959	520.3187662344377	8.095041290929146	2.832097807338322	20.560850123644983	118.1605040199543	2004.9909846036446	257.8605740677026	689.381318938629	1722.693543388269	6056542.981254921	43406544.06359937	1090558728.896743
1	1	0.0	8.22706800459303	403.2805965239573	0.24444827242564324	0.18241453720673648	90469871.71802478	0.18240179671675436	12.621143049567028	2.54780157195637	1567.351841954454	514.5723420319663	5.797893959871356	0.4021013330424064	296.6408695926328	1628.3807687273156	10938.788049154695	263.33950147788937	700.2711628848647	1693.966425082539	105275183.73268194	706179102.5861943	6543815386.508864
2	2	0.0	8.474185778239727	853.141990357049	0.6833973338801491	0.6907543610724726	527577830.64588773	0.6368648233926469	23.773294385671527	2.657648381020408	1954.608299958576	605.1546667295522	9.010278588684589	3.006703466035836	116.7889961863526	414.8230032174395	2992.6401905151292	309.4559851065501	823.1903105766594	1997.2745482757146	64702568.621771336	287331261.8928745	2747292218.411062
3	3	0.0	11.85532245681668	11.389477044778912	0.8047716837143437	0.03241543169026227	540708.305206118	0.8356967694302331	1.8841562959614542	3.055841575958766	603.6744692149722	147.9651950617424	9.37482709579075	19.93373141610984	1.2969004681755307	4.363682515598558	17.49589799104451	74.73697739156773	199.04719903812145	486.74346431713	35836.2176183297	142985.85336724608	805612.6707456456
4	4	0.0	8.203257485209809	18.097269224865734	0.031716107182768065	0.46240072819226563	13202694.798072184	0.04487739901239655	1.9510286547102396	2.901677382003982	1931.493418732831	688.2560581186913	8.833372394255296	-1.467300052094872	230.8914551161622	1265.6620076385393	11677.321337425657	360.61029557534766	956.3350005540344	2294.9716386335285	115763006.30894306	894948246.7151499	12960230667.413233
5	5	0.0	8.155011776231936	65.24196695195508	0.32841631838670465	0.18304483001695118	11228175.91910225	0.20862236494566833	6.401888763853564	2.927311346982606	1635.957338372794	507.9653584917342	10.86819850467163	-0.1626363970539871	33.56164768023664	134.77795885412476	2885.2461432697614	256.8591760496761	684.8169771678017	1672.3823557092342	10575427.908433702	55916706.72535301	2005993214.673056
6	6	0.0	8.387267853752876	268.88870158449936	0.3468847738203614	0.10956848938524671	378577338.16306746	0.3556610491020932	7.498153118482315	2.544776052993257	2790.764889931655	767.1832587086711	11.352916524161	-0.5155049242422325	108.22922111979656	595.0563238720183	3590.1844508762074	391.47011919636043	1041.3766102859017	2527.056382236061	130517017.47770855	802751266.9620132	6266125500.901127
7	7	0.0	9.533225185431274	330.3669610962059	0.3880332716457049	0.8988874370248557	642347129.0436835	0.9011088031724749	65.39377424029097	2.8797436709865	1334.087890417556	408.1209294871236	8.796288692772865	9.241502846297717	129.6491479299617	492.78818695739386	1713.4363478525554	205.05175486950475	546.6125094956615	1340.7111370287557	28720210.803569134	127539040.78563157	637948534.4891634
8	8	0.0	12.67803014309608	200.43381364696455	0.698155783881437	0.8413915247152388	90278424.95974916	0.7030758757722766	3.531309939847987	2.55439581500832	1644.962242520046	429.1410204356283	14.70303518508513	32.4228396457401	37.26864017006885	118.5255562284182	384.2273065767337	216.9904855868815	578.0322480118755	1411.9981516197113	12486813.035505587	46633662.14479913	204675997.78716597
9	9	0.0	8.294921111132874	53.66233744068967	0.08424386447524615	0.05536174198741902	56224820.222264	0.09086559037207807	99.80442478476934	2.726065833005123	2553.469942890675	767.8984594918038	10.86280393460018	-1.033383488488214	161.82997461259026	634.1290756301873	5523.209618444487	394.8813772321337	1049.3789475956908	2530.6604466544636	161885091.5461792	768976682.3950359	8626882782.802576
10	10	0.0	8.12191663286927	157.05282336013224	0.2762910955840297	0.4182036566179107	145528053.21819043	0.19938460544602524	7.601514157485823	2.527183422993403	3039.864489162203	898.8569720886629	13.13059300827231	0.6870124577276387	95.38788314267237	509.31758855524447	3108.3490565494276	462.10409199688	1228.0592423516441	2961.5989329370345	146225057.8853719	854782203.5912952	6586128896.2187
11	11	0.0	9.037965279237602	0.8229011912031391	0.023283317943485635	0.3307992381808087	65913.42232518813	0.01921344673582706	1.2121026951889684	2.370144891960081	1171.745789149272	461.0635625561339	8.307004552932922	4.022379738704826	8.162712578471732	31.89698335478007	351.9554178659034	196.41957485312798	537.4316539499753	1513.3256022587568	992378.1209663077	5137085.778439491	141388875.1476072
12	12	0.0	9.045928510030336	1352.941356080248	0.8931224534451457	0.6798190157375126	428160511.2977483	0.8584842087366196	82.64840911737829	1.758265996002592	1291.193515474763	498.1299089114859	3.651668380640736	8.457031878875426	87.8604712714161	319.4693897027085	1406.9104435692998	247.79287401111446	663.449548089056	1679.0944983364698	12315222.34068323	68394226.02959687	584349941.2836703
13	13	0.0	8.293331767950196	834.4677067510763	0.73396554760383	0.10320722356985736	206804373.9814341	0.6127712872110913	11.284589802565437	3.016574562992901	1529.911609614161	538.4206856209606	10.24453402910098	0.4804487282171368	66.8832270935913	324.8075821034333	2696.9411719322793	271.3410066716265	723.8686566565964	1770.310148080945	19616339.519300085	121069685.84676601	1634211178.98916
14	14	0.0	12.56701097671997	28.195020893810767	0.5862921512509746	0.3977830988718962	666908.1122600288	0.48959538629575483	8.583064353072775	2.776895129994955	622.4280005851124	159.0551994943536	7.560367726672983	28.44880240531096	6.94291477369194	21.831442938802784	94.05519040732457	75.78139321435685	202.63620955450756	511.70463840631527	180627.98048718728	692955.5064421821	4386054.109516413
15	15	0.0	11.1001315387389	28.837605090925997	0.5276320525122857	0.5466906675567538	1418105.4590913036	0.3956931432042517	2.105981757438014	2.56483308901079	851.9806376383917	220.6177955231328	13.77777875232527	16.87930718495898	8.403449693155634	26.589892556807023	96.15497157483217	109.59835585977646	292.36602310018634	722.2474144898333	550044.4975656723	2096228.277992102	10885086.008311154
16	16	0.0	8.356416132613576	7.002856352230637	0.03038382408382694	0.16596382931492698	9939296.15989545	0.05595639198615743	28.332613686491854	2.611134485981893	2419.668246998018	777.4919865101388	10.92324375673445	1.139282607419286	60.100035120425325	267.3177046652149	2023.7869785324194	395.74482199017166	1055.115370693168	2610.5057738189435	54036386.551006965	296820072.10923445	2949055449.2638755
17	17	0.0	8.063527997612693	4707.598055988908	0.3246726141528166	0.9999990528837407	141124524327.921	1.000002987301234	43.86865279001512	2.528350129025057	3116.716468287483	654.579860724855	9.704534685899482	-4.308798763223596	2275.4778482180463	9917.799463635225	31559.96784937692	330.7416147774843	881.0248785719173	2154.14755826335	2875183052.6024766	13193641495.420897	45693582515.49195
18	18	0.0	11.34013980718422	22.188825745269924	0.36083920826072635	0.41859597529499726	6637114.193502186	0.23147046613263914	2.3098251293849876	2.775299814995378	2032.484105797519	505.4105081791362	14.43251583969877	17.07438396989778	10.030922323656606	38.19491913755471	174.49091323543595	253.06675111993763	674.5139358164001	1658.347756668928	5401321.065494841	24206610.777330555	143983728.76077253
19	19	0.0	11.68256752846814	755.5741041012582	0.9136684415272872	0.13441120142476617	199296784.92617986	0.8312973701181109	152.57625609507826	2.487936999998055	1525.381762302988	406.9611629733709	11.55797198427248	23.93316034985938	28.630814509867818	110.16261124253859	686.6694915181472	206.75243127748809	550.5197275015951	1340.6106094276597	8933231.043712193	40483162.19042877	310683160.51331896
20	20	0.0	18.50946922512173	2.5047669724271184	0.18976578897528337	0.6557474597421337	15906.812003749832	0.17015830369855045	1.1273777078549179	3.491076130012516	380.1575311613922	78.67725520340746	8.235037483140271	89.12400938128062	2.6685703470324884	9.751941625905147	40.77723036118158	39.63402089098844	105.58417745957809	258.7323834532532	19696.951759394935	85876.43286012087	452724.85864027444
21	21	0.0	13.47593234572315	10.37970187788439	0.4748157718491912	0.8868352669103512	2656843.9326681932	0.6540089241491063	1.7634358036863467	3.181393134000245	1124.353581079607	249.8246999662601	17.20904682092247	36.33987693660844	3.713233636662878	11.148209155022748	37.291403525446334	126.1283605671099	335.949051112766	821.5457809305998	448046.93088037736	1597654.5271598129	7319845.34022951
22	22	0.0	14.04330597030654	299.78519889882966	0.4079967356320499	0.0879314820483911	2295612.6504014684	0.1467836037372805	25.175282122180153	2.543225283036008	632.6176331438159	186.9811815231894	3.62481172737855	43.45820498883292	131.0615708161119	389.95360910864787	1140.5509989938857	96.33019452134306	255.8791178004135	616.5017260526214	3500408.711957117	13672814.745901477	58492708.59761761
23	23	0.0	11.6105783865631	4.396456164953737	0.4931469204711411	0.5519609706827194	479782.86994032754	0.3734030324072968	1.6920295608245466	3.013531845994294	1243.948466507238	281.2916535962844	16.85317012634351	17.84985447625293	1.2594520768297597	4.508106903911752	26.266788842375266	138.8685029170981	370.5716181921289	918.8932129066353	189419.2204787846	838454.1756863971	6890045.38971475
