simulation_id,mjd_time,gps_time,longitude,latitude,ra,dec,inclination,distance,mass1,mass2,spin1z,spin2z,redshift,mass1_detector,mass2_detector,mass1_source,mass2_source,radius2,compactness2,mej_tot,mej_dyn,mej_wind,phi,costheta,distmean,diststd
593,63926.3336,1700553640.1,5.3519914,-0.29885894,306.646519,-17.123356,0.53519597,754.20746,13.604412,1.5149218,0.93185196,-0.046555815,0.1532153,13.604412,1.5149218,11.7969404,1.3136505,11.856148,0.18869,0.109942,0.013212,0.030946,32.121912,0.860169,915.7086,193.160939
616,61451.8364,1486757081.97,4.7611751,0.065408248,272.795239,3.747617,2.856042,460.43726,6.2260097,1.3598497,0.83498573,-0.034357801,0.096962,6.2260097,1.3598497,5.6756841,1.2396507,11.94197,0.16816,0.218489,0.039685,0.060193,70.080759,0.959507,467.815854,98.628291
660,61124.7308,1458495159.67,5.7846786,-0.29483603,331.43767,-16.89286,2.6551009,1249.0358,13.870819,1.793332,0.98389686,0.040138714,0.2411498,13.870819,1.793332,11.1757811,1.4448956,11.559192,0.2291,0.164592,0.001507,0.052197,73.954701,0.883978,962.748365,241.944782
678,61204.3327,1465372759.43,4.5335997,-1.1711717,259.756129,-67.103195,0.91297165,1190.7362,7.0301537,1.7008473,0.98003192,-0.030954198,0.2311574,7.0301537,1.7008473,5.7101989,1.3815027,11.686794,0.21492,0.349168,0.022183,0.114475,67.244929,0.611397,1748.929715,600.152432
752,63246.0681,1641778700.94,2.4304698,1.1691563,139.255662,66.987722,0.75112603,1033.4577,6.7653467,1.5593982,0.86404864,-0.0019424812,0.2037429,6.7653467,1.5593982,5.6202591,1.2954579,11.823356,0.19477,0.170812,0.014538,0.053609,37.182672,0.730921,1184.35091,401.870716
759,64059.712,1712077530.77,0.92949887,0.45731894,53.256362,26.202445,1.119159,501.11133,5.5418847,1.5019086,0.9005311,-0.043725264,0.1049699,5.5418847,1.5019086,5.0154167,1.3592303,11.865715,0.18692,0.275208,0.027003,0.09212,70.473356,0.436439,901.846824,219.597025
778,63887.6571,1697211993.17,1.1466319,-1.3424697,65.697169,-76.917848,0.82240748,1518.252,9.8217552,1.7790187,0.9895201,-0.048574763,0.2862233,9.8217552,1.7790187,7.6361199,1.3831337,11.581846,0.22683,0.303227,0.020518,0.09167,37.775067,0.680459,1449.892895,457.410549
786,61803.7942,1517166239.66,2.9581162,-0.75514656,169.487574,-43.266711,0.33621066,671.97075,11.754215,1.4124887,0.85258276,0.026030707,0.1378205,11.754215,1.4124887,10.3304649,1.2413985,11.917479,0.17503,0.06731,0.00606,0.019598,60.895184,0.944012,428.967467,157.795213
802,63706.176,1681532025.79,1.5005621,-0.14467608,85.975875,-8.289329,2.1478294,567.27237,6.4807496,1.3625047,0.72600211,-0.047202864,0.1178368,6.4807496,1.3625047,5.7975812,1.2188762,11.940691,0.1685,0.118198,0.022825,0.031757,43.835717,0.54554,1591.666095,660.049536
818,64214.6468,1725463898.33,1.1147251,0.961756,63.869044,55.10456,0.94262435,368.20331,18.455994,1.5157229,0.96468857,-0.020556256,0.0785092,18.455994,1.5157229,17.1125043,1.405387,11.855749,0.1888,0.096706,0.003421,0.029842,27.81832,0.587667,507.618869,109.771904
