simulation_id,mjd_time,gps_time,longitude,latitude,ra,dec,inclination,distance,mass1,mass2,spin1z,spin2z,redshift,mass1_detector,mass2_detector,mass1_source,mass2_source,radius2,compactness2,mej_tot,mej_dyn,mej_wind,phi,costheta,distmean,diststd
1191,62004.2457,1534485243.89,0.027293807,-0.34164733,1.56382,-19.57495,0.93513625,2075.5306,7.1766217,1.9115283,0.79437355,-0.0042812344,0.3748292,7.1766217,1.9115283,5.2200096,1.3903751,11.31722,0.24943,0.000967,0.0,0.000355,35.472368,0.593709,2310.666867,589.171734
1192,62691.4122,1593856428.78,0.25547897,-0.28593143,14.637867,-16.382664,0.50927458,1276.5772,7.1215742,1.517234,0.87794697,-0.024704419,0.2458402,7.1215742,1.517234,5.7162822,1.21784,11.855034,0.189,0.191629,0.023178,0.056293,55.796812,0.873098,1348.015505,518.514184
1193,62476.6733,1575302987.45,5.5006965,-1.3028583,315.166694,-74.648282,2.6188228,1256.9309,15.813514,1.6141423,0.96003314,-0.047127473,0.2424963,15.813514,1.6141423,12.7272116,1.2991123,11.777889,0.20238,0.098305,0.0,0.031448,24.791453,0.86644,1415.980452,354.890784
1194,63690.3626,1680165749.62,5.6879907,-0.49562261,325.897861,-28.397084,2.8356414,1518.1416,9.7728244,1.6283624,0.59839774,-0.038346987,0.2862051,9.7728244,1.6283624,7.5981849,1.2660208,11.764663,0.2044,0.0,0.0,0.0,60.734651,0.953561,1472.966238,475.364854
1195,62394.0015,1568160146.95,0.55108573,0.33544496,31.574886,19.21958,1.0114385,905.80413,12.662922,1.5450984,0.1567528,0.026799714,0.1809603,12.662922,1.5450984,10.722564,1.3083407,11.834296,0.1928,0.0,0.0,0.0,58.722066,0.530642,1270.004356,467.909459
1196,64406.5763,1742046614.6,4.6033758,-0.78127914,263.754005,-44.763997,2.5223862,1495.638,12.291217,1.6486586,0.26439801,-0.015858724,0.2825006,12.291217,1.6486586,9.5837908,1.2855032,11.744092,0.20731,0.0,0.0,0.0,71.462024,0.814339,1276.883411,472.883512
1197,63372.9897,1652744730.17,1.5702333,-0.78262727,89.967741,-44.84124,0.9931384,801.03385,10.331426,1.6184278,0.62588748,0.046459265,0.1618701,10.331426,1.6184278,8.8920663,1.3929507,11.773626,0.20299,0.0,0.0,0.0,35.445368,0.546063,1296.66183,309.856258
1198,64023.7167,1708967543.27,0.44141837,1.1122265,25.29141,63.725884,2.1812894,799.44281,9.5874434,1.577822,-0.93508783,0.013184409,0.1615773,9.5874434,1.577822,8.2538143,1.3583444,11.809523,0.1973,0.0,0.0,0.0,49.166408,0.573272,1208.752177,296.713644
1199,64074.3336,1713340844.98,6.2405307,0.72831272,357.556071,41.729245,2.3888905,2270.072,49.58826,2.0000871,0.44591748,0.001599818,0.4045264,49.58826,2.0000871,35.3060352,1.4240295,11.006361,0.26835,0.0,0.0,0.0,50.197208,0.729844,2410.79309,714.700761
1200,62176.1162,1549334854.38,6.205814,0.21891439,355.566951,12.542871,0.28793266,2041.8592,7.8706301,1.8857194,-0.011091709,-0.030097188,0.3696302,7.8706301,1.8857194,5.7465368,1.3768092,11.381189,0.24468,0.0,0.0,0.0,27.433231,0.958833,2130.998989,638.427991
