,dim_000,dim_001,dim_002,dim_003,dim_004,dim_005,dim_006,dim_007,dim_008,dim_009,dim_010,dim_011,dim_012,dim_013,dim_014,dim_015,dim_016,dim_017,dim_018,dim_019,dim_020,dim_021,dim_022,dim_023,dim_024,dim_025,dim_026,dim_027,dim_028,dim_029,dim_030,dim_031,dim_032,dim_033,dim_034,dim_035,dim_036,dim_037,dim_038,dim_039,dim_040,dim_041,dim_042,dim_043,dim_044,dim_045,dim_046,dim_047,dim_048,dim_049,dim_050,dim_051,dim_052,dim_053,dim_054,dim_055,dim_056,dim_057,dim_058,dim_059,dim_060,dim_061,dim_062,dim_063
head_00,,123.45211505889893,105.8851957321167,103.76332998275757,92.02272295951843,97.17193841934204,97.04404473304749,67.81463623046875,84.65440273284912,56.39595985412598,57.74761438369751,47.073763608932495,47.76776731014252,44.986724853515625,45.787063241004944,47.13703393936157,36.61799132823944,35.410454869270325,27.598974108695984,34.39663052558899,25.329473614692688,24.948598444461823,24.818038940429688,21.469682455062866,18.19903403520584,25.48636794090271,18.16173642873764,19.884313642978668,14.866626262664795,13.40104192495346,13.659034669399261,12.836697697639465,12.695646286010742,12.880593538284302,10.048125684261322,9.752286225557327,10.436064749956131,9.6917524933815,7.932852208614349,7.150419056415558,6.768412888050079,6.939385831356049,5.842211097478867,6.15825317800045,4.895337671041489,5.093155056238174,4.225574433803558,4.147079959511757,3.8238555192947388,3.4945987164974213,3.143070265650749,3.1067468225955963,2.9337145388126373,2.2645043209195137,2.361084520816803,2.1418947726488113,1.9374752417206764,1.7519604414701462,1.555588934570551,1.8217124044895172,1.4452414587140083,1.28581915050745,1.0766929015517235,1.2059900909662247
head_01,,64.06826972961426,113.5326623916626,127.50939130783081,113.6257529258728,109.98333692550659,108.31348896026611,45.14343738555908,77.31420993804932,54.89777326583862,50.5121648311615,72.93801307678223,42.74740219116211,34.641602635383606,60.537922382354736,39.69692885875702,39.833372831344604,42.38426983356476,34.35685336589813,31.683096289634705,26.951542496681213,28.9023220539093,25.50652027130127,20.3880712389946,16.537505388259888,21.484914422035217,21.765774488449097,18.683457374572754,15.18026888370514,13.389557600021362,17.371398210525513,11.48509606719017,13.267414271831512,10.824569314718246,11.417704820632935,10.29505729675293,8.624545484781265,9.382305294275284,7.049471139907837,8.045755326747894,6.859500706195831,7.505612075328827,5.854461714625359,5.464267358183861,4.965265840291977,4.653744772076607,4.101361334323883,3.8854286074638367,3.753736987709999,3.372173011302948,3.1245017424225807,2.9462305828928947,2.4423152208328247,2.5867680087685585,2.6570653542876244,2.22137738019228,2.062692493200302,1.7557080835103989,1.7029689624905586,1.7539190128445625,1.3715408742427826,1.302406657487154,1.1785371229052544,0.9854815900325775
head_02,,125.20910501480103,48.601895570755005,93.35101842880249,79.37369346618652,89.06068801879883,91.1814033985138,88.98918628692627,71.76955938339233,76.72941088676453,61.62832975387573,55.16242980957031,79.29052114486694,88.23713064193726,91.87625050544739,32.88163244724274,50.35303235054016,37.12692856788635,44.67482268810272,27.173742651939392,36.42292320728302,23.819898068904877,33.70642960071564,29.369360208511353,29.62779998779297,28.44182550907135,22.06360250711441,18.08905601501465,18.092040717601776,14.870363473892212,14.404742419719696,12.906646728515625,11.603408306837082,14.126478135585785,10.258475691080093,9.802232682704926,10.14363169670105,8.252450078725815,10.08957028388977,7.153835892677307,7.053324580192566,6.454776227474213,5.851355567574501,6.4268894493579865,4.889333248138428,4.511281102895737,4.14104126393795,4.6919383108615875,3.8767822086811066,3.553713485598564,3.299713134765625,2.636989951133728,2.9542718082666397,2.6310529559850693,2.05465666949749,2.078339084982872,1.6147807240486145,1.8502114340662956,1.7375707626342773,1.3880114071071148,1.4714431017637253,1.0937303304672241,0.9952332824468613,1.033560186624527
head_03,,105.81338405609131,119.55350637435913,112.68357038497925,102.69675254821777,98.26634526252747,114.71587419509888,80.25957345962524,77.48778462409973,62.202101945877075,67.11030602455139,52.77687311172485,65.58195948600769,52.23393440246582,32.445913553237915,53.547513484954834,38.937726616859436,36.45405173301697,28.192123770713806,30.530819296836853,30.186229944229126,34.14703607559204,29.27834689617157,27.260267734527588,19.153425097465515,17.342641949653625,20.175300538539886,13.615261018276215,20.349615812301636,19.986768066883087,14.983275532722473,14.254161715507507,12.895293533802032,10.957338660955429,12.224505841732025,9.709446132183075,9.697138518095016,8.719595521688461,7.1586959064006805,7.262837886810303,5.888854339718819,6.236638128757477,5.895226821303368,5.205919221043587,5.373145639896393,3.7033390253782272,3.9919938892126083,4.375598952174187,3.4075476229190826,2.9571976512670517,3.1432226300239563,3.0601758509874344,2.693280763924122,2.490340732038021,2.225875109434128,2.016705647110939,1.8159987404942513,1.5077623538672924,1.701631210744381,1.5835270285606384,1.3407643884420395,0.9959058836102486,0.9965497069060802,0.9481599554419518
