head,dim,component,omega_scaled,period_scaled,period_days,dim_name
0,0,linear,,,,dim_000
0,1,periodic,4.796128273010254,1.3100537061691284,131.00537061691284,dim_001
0,2,periodic,5.7552490234375,1.091731309890747,109.1731309890747,dim_002
0,3,periodic,6.297796726226807,0.9976799488067627,99.76799488067627,dim_003
0,4,periodic,7.025582313537598,0.8943294882774353,89.43294882774353,dim_004
0,5,periodic,6.639543056488037,0.9463279843330383,94.63279843330383,dim_005
0,6,periodic,6.064963340759277,1.0359808206558228,103.59808206558228,dim_006
0,7,periodic,9.529147148132324,0.6593649387359619,65.93649387359619,dim_007
0,8,periodic,7.420627593994141,0.8467189073562622,84.67189073562622,dim_008
0,9,periodic,11.198758125305176,0.561060905456543,56.1060905456543,dim_009
0,10,periodic,11.291757583618164,0.556439995765686,55.6439995765686,dim_010
0,11,periodic,13.310093879699707,0.4720616936683655,47.20616936683655,dim_011
0,12,periodic,13.601828575134277,0.4619368314743042,46.19368314743042,dim_012
0,13,periodic,14.151793479919434,0.44398510456085205,44.398510456085205,dim_013
0,14,periodic,14.201861381530762,0.4424198567867279,44.24198567867279,dim_014
0,15,periodic,13.250282287597656,0.4741925895214081,47.41925895214081,dim_015
0,16,periodic,17.573495864868164,0.3575375974178314,35.75375974178314,dim_016
0,17,periodic,18.277067184448242,0.3437742590904236,34.37742590904236,dim_017
0,18,periodic,21.809558868408203,0.2880931794643402,28.80931794643402,dim_018
0,19,periodic,19.308895111083984,0.32540369033813477,32.54036903381348,dim_019
0,20,periodic,24.65501594543457,0.2548440992832184,25.48440992832184,dim_020
0,21,periodic,25.264589309692383,0.24869532883167267,24.869532883167267,dim_021
0,22,periodic,25.660974502563477,0.24485373497009277,24.485373497009277,dim_022
0,23,periodic,28.681926727294922,0.21906428039073944,21.906428039073944,dim_023
0,24,periodic,34.142784118652344,0.18402674794197083,18.402674794197083,dim_024
0,25,periodic,24.40071678161621,0.257500022649765,25.7500022649765,dim_025
0,26,periodic,34.74473190307617,0.18083851039409637,18.083851039409637,dim_026
0,27,periodic,32.192955017089844,0.19517268240451813,19.517268240451813,dim_027
0,28,periodic,42.40884017944336,0.14815744757652283,14.815744757652283,dim_028
0,29,periodic,46.21510696411133,0.13595522940158844,13.595522940158844,dim_029
0,30,periodic,45.63388442993164,0.1376868486404419,13.76868486404419,dim_030
0,31,periodic,48.157806396484375,0.13047075271606445,13.047075271606445,dim_031
0,32,periodic,48.12371826171875,0.1305631697177887,13.05631697177887,dim_032
0,33,periodic,49.210391998291016,0.12768004834651947,12.768004834651947,dim_033
0,34,periodic,64.70342254638672,0.09710747003555298,9.710747003555298,dim_034
0,35,periodic,65.74748992919922,0.09556540101766586,9.556540101766586,dim_035
0,36,periodic,63.34686279296875,0.09918700158596039,9.918700158596039,dim_036
0,37,periodic,68.89141845703125,0.09120418131351471,9.120418131351471,dim_037
0,38,periodic,82.19832611083984,0.07643933594226837,7.643933594226837,dim_038
0,39,periodic,91.86834716796875,0.06839336454868317,6.839336454868317,dim_039
0,40,periodic,92.48898315429688,0.06793442368507385,6.793442368507385,dim_040
0,41,periodic,89.11500549316406,0.07050648331642151,7.050648331642151,dim_041
0,42,periodic,106.21788787841797,0.05915374308824539,5.915374308824539,dim_042
0,43,periodic,104.1741714477539,0.06031423434615135,6.031423434615135,dim_043
0,44,periodic,131.3750762939453,0.047826312482357025,4.7826312482357025,dim_044
0,45,periodic,121.09935760498047,0.051884546875953674,5.188454687595367,dim_045
0,46,periodic,148.70693969726562,0.042252134531736374,4.225213453173637,dim_046
0,47,periodic,154.7708282470703,0.04059670493006706,4.059670493006706,dim_047
0,48,periodic,164.96470642089844,0.03808806091547012,3.8088060915470123,dim_048
0,49,periodic,189.7187042236328,0.03311843052506447,3.311843052506447,dim_049
0,50,periodic,206.88229370117188,0.030370822176337242,3.037082217633724,dim_050
0,51,periodic,207.8070068359375,0.03023567609488964,3.023567609488964,dim_051
0,52,periodic,220.1624755859375,0.028538856655359268,2.853885665535927,dim_052
0,53,periodic,278.97113037109375,0.022522708401083946,2.2522708401083946,dim_053
0,54,periodic,267.00653076171875,0.023531954735517502,2.35319547355175,dim_054
0,55,periodic,300.6966247558594,0.02089543081820011,2.089543081820011,dim_055
0,56,periodic,326.8443603515625,0.019223785027861595,1.9223785027861595,dim_056
0,57,periodic,370.08001708984375,0.016977909952402115,1.6977909952402115,dim_057
0,58,periodic,416.38983154296875,0.01508967112749815,1.508967112749815,dim_058
0,59,periodic,353.7899475097656,0.017759649083018303,1.7759649083018303,dim_059
0,60,periodic,436.3158264160156,0.014400544576346874,1.4400544576346874,dim_060
0,61,periodic,507.79205322265625,0.012373540550470352,1.2373540550470352,dim_061
0,62,periodic,592.8399047851562,0.010598452761769295,1.0598452761769295,dim_062
0,63,periodic,532.9446411132812,0.011789564974606037,1.1789564974606037,dim_063
1,0,linear,,,,dim_000
1,1,periodic,9.568397521972656,0.6566601395606995,65.66601395606995,dim_001
1,2,periodic,5.5284576416015625,1.1365169286727905,113.65169286727905,dim_002
1,3,periodic,5.186168193817139,1.2115274667739868,121.15274667739868,dim_003
1,4,periodic,5.561437606811523,1.129777193069458,112.9777193069458,dim_004
1,5,periodic,5.831118583679199,1.077526569366455,107.75265693664551,dim_005
1,6,periodic,6.19993782043457,1.0134271383285522,101.34271383285522,dim_006
1,7,periodic,13.465923309326172,0.4665989279747009,46.65989279747009,dim_007
1,8,periodic,8.547998428344727,0.7350475788116455,73.50475788116455,dim_008
1,9,periodic,11.373729705810547,0.5524296760559082,55.24296760559082,dim_009
1,10,periodic,12.947749137878418,0.4852724075317383,48.52724075317383,dim_010
1,11,periodic,9.178003311157227,0.6845917701721191,68.45917701721191,dim_011
1,12,periodic,14.958003044128418,0.420055091381073,42.0055091381073,dim_012
1,13,periodic,17.550539016723633,0.3580052852630615,35.80052852630615,dim_013
1,14,periodic,10.686434745788574,0.5879589915275574,58.79589915275574,dim_014
1,15,periodic,15.306194305419922,0.4104995131492615,41.04995131492615,dim_015
1,16,periodic,15.436456680297852,0.4070354700088501,40.70354700088501,dim_016
1,17,periodic,14.889888763427734,0.42197665572166443,42.19766557216644,dim_017
1,18,periodic,18.166851043701172,0.34585991501808167,34.58599150180817,dim_018
1,19,periodic,20.958145141601562,0.29979681968688965,29.979681968688965,dim_019
1,20,periodic,23.678861618041992,0.26534998416900635,26.534998416900635,dim_020
1,21,periodic,22.406993865966797,0.28041180968284607,28.041180968284607,dim_021
