head,dim,component,omega_scaled,period_scaled,period_days,dim_name
0,0,linear,,,,dim_000
0,1,periodic,5.089572906494141,1.2345211505889893,123.45211505889893,dim_001
0,2,periodic,5.933960437774658,1.058851957321167,105.8851957321167,dim_002
0,3,periodic,6.055304527282715,1.0376332998275757,103.76332998275757,dim_003
0,4,periodic,6.8278632164001465,0.9202272295951843,92.02272295951843,dim_004
0,5,periodic,6.4660491943359375,0.9717193841934204,97.17193841934204,dim_005
0,6,periodic,6.4745707511901855,0.9704404473304749,97.04404473304749,dim_006
0,7,periodic,9.26523494720459,0.6781463623046875,67.81463623046875,dim_007
0,8,periodic,7.4221601486206055,0.8465440273284912,84.65440273284912,dim_008
0,9,periodic,11.14119815826416,0.5639595985412598,56.39595985412598,dim_009
0,10,periodic,10.880424499511719,0.5774761438369751,57.74761438369751,dim_010
0,11,periodic,13.34753131866455,0.47073763608932495,47.073763608932495,dim_011
0,12,periodic,13.153609275817871,0.47767767310142517,47.76776731014252,dim_012
0,13,periodic,13.966754913330078,0.44986724853515625,44.986724853515625,dim_013
0,14,periodic,13.72262191772461,0.45787063241004944,45.787063241004944,dim_014
0,15,periodic,13.329615592956543,0.4713703393936157,47.13703393936157,dim_015
0,16,periodic,17.15873908996582,0.3661799132823944,36.61799132823944,dim_016
0,17,periodic,17.743871688842773,0.35410454869270325,35.410454869270325,dim_017
0,18,periodic,22.766010284423828,0.27598974108695984,27.598974108695984,dim_018
0,19,periodic,18.266862869262695,0.3439663052558899,34.39663052558899,dim_019
0,20,periodic,24.805828094482422,0.2532947361469269,25.329473614692688,dim_020
0,21,periodic,25.18452262878418,0.24948598444461823,24.948598444461823,dim_021
0,22,periodic,25.3170108795166,0.24818038940429688,24.818038940429688,dim_022
0,23,periodic,29.2653865814209,0.21469682455062866,21.469682455062866,dim_023
0,24,periodic,34.52482986450195,0.1819903403520584,18.19903403520584,dim_024
0,25,periodic,24.653121948242188,0.2548636794090271,25.48636794090271,dim_025
0,26,periodic,34.59572982788086,0.1816173642873764,18.16173642873764,dim_026
0,27,periodic,31.598705291748047,0.19884313642978668,19.884313642978668,dim_027
0,28,periodic,42.263694763183594,0.14866626262664795,14.866626262664795,dim_028
0,29,periodic,46.885799407958984,0.1340104192495346,13.40104192495346,dim_029
0,30,periodic,46.00021743774414,0.13659034669399261,13.659034669399261,dim_030
0,31,periodic,48.94705581665039,0.12836697697639465,12.836697697639465,dim_031
0,32,periodic,49.490867614746094,0.12695646286010742,12.695646286010742,dim_032
0,33,periodic,48.78024673461914,0.12880593538284302,12.880593538284302,dim_033
0,34,periodic,62.530921936035156,0.10048125684261322,10.048125684261322,dim_034
0,35,periodic,64.42781829833984,0.09752286225557327,9.752286225557327,dim_035
0,36,periodic,60.20646286010742,0.10436064749956131,10.436064749956131,dim_036
0,37,periodic,64.83023071289062,0.096917524933815,9.6917524933815,dim_037
0,38,periodic,79.20462036132812,0.0793285220861435,7.932852208614349,dim_038
0,39,periodic,87.87157440185547,0.07150419056415558,7.150419056415558,dim_039
0,40,periodic,92.83100128173828,0.0676841288805008,6.768412888050079,dim_040
0,41,periodic,90.54383087158203,0.06939385831356049,6.939385831356049,dim_041
0,42,periodic,107.5480728149414,0.058422110974788666,5.842211097478867,dim_042
