,dim_000,dim_001,dim_002,dim_003,dim_004,dim_005,dim_006,dim_007,dim_008,dim_009,dim_010,dim_011,dim_012,dim_013,dim_014,dim_015,dim_016,dim_017,dim_018,dim_019,dim_020,dim_021,dim_022,dim_023,dim_024,dim_025,dim_026,dim_027,dim_028,dim_029,dim_030,dim_031,dim_032,dim_033,dim_034,dim_035,dim_036,dim_037,dim_038,dim_039,dim_040,dim_041,dim_042,dim_043,dim_044,dim_045,dim_046,dim_047,dim_048,dim_049,dim_050,dim_051,dim_052,dim_053,dim_054,dim_055,dim_056,dim_057,dim_058,dim_059,dim_060,dim_061,dim_062,dim_063
head_00,,131.00537061691284,109.1731309890747,99.76799488067627,89.43294882774353,94.63279843330383,103.59808206558228,65.93649387359619,84.67189073562622,56.1060905456543,55.6439995765686,47.20616936683655,46.19368314743042,44.398510456085205,44.24198567867279,47.41925895214081,35.75375974178314,34.37742590904236,28.80931794643402,32.54036903381348,25.48440992832184,24.869532883167267,24.485373497009277,21.906428039073944,18.402674794197083,25.7500022649765,18.083851039409637,19.517268240451813,14.815744757652283,13.595522940158844,13.76868486404419,13.047075271606445,13.05631697177887,12.768004834651947,9.710747003555298,9.556540101766586,9.918700158596039,9.120418131351471,7.643933594226837,6.839336454868317,6.793442368507385,7.050648331642151,5.915374308824539,6.031423434615135,4.7826312482357025,5.188454687595367,4.225213453173637,4.059670493006706,3.8088060915470123,3.311843052506447,3.037082217633724,3.023567609488964,2.853885665535927,2.2522708401083946,2.35319547355175,2.089543081820011,1.9223785027861595,1.6977909952402115,1.508967112749815,1.7759649083018303,1.4400544576346874,1.2373540550470352,1.0598452761769295,1.1789564974606037
head_01,,65.66601395606995,113.65169286727905,121.15274667739868,112.9777193069458,107.75265693664551,101.34271383285522,46.65989279747009,73.50475788116455,55.24296760559082,48.52724075317383,68.45917701721191,42.0055091381073,35.80052852630615,58.79589915275574,41.04995131492615,40.70354700088501,42.19766557216644,34.58599150180817,29.979681968688965,26.534998416900635,28.041180968284607,26.687604188919067,19.689469039440155,16.86764359474182,20.71928083896637,21.659226715564728,17.980140447616577,15.409882366657257,13.338372111320496,17.42790788412094,11.52104064822197,13.4645015001297,10.645414888858795,11.191528290510178,10.24911254644394,8.66202563047409,9.252292662858963,6.848513334989548,7.854269444942474,6.788118928670883,7.641401886940002,5.80630749464035,5.376461520791054,4.90991398692131,4.394366964697838,4.0265437215566635,3.880675509572029,3.600553795695305,3.361840173602104,3.0248424038290977,2.887246757745743,2.3432711139321327,2.428259700536728,2.4993591010570526,2.1590912714600563,2.0100144669413567,1.7292194068431854,1.6301842406392097,1.6908908262848854,1.3617743737995625,1.2696274556219578,1.1416207998991013,0.9893203154206276
head_02,,135.9249472618103,53.13921570777893,91.21119976043701,86.65691018104553,92.44094491004944,92.96479225158691,93.04177761077881,73.52234125137329,77.69126892089844,60.64522862434387,55.2192747592926,81.84516429901123,86.1208975315094,87.06168532371521,36.301445960998535,45.503056049346924,37.77962327003479,40.47711491584778,28.53781282901764,34.17813777923584,25.356945395469666,31.531116366386414,27.847763895988464,27.239736914634705,25.93933939933777,21.33946120738983,18.886835873126984,17.0269638299942,15.23018330335617,14.538052678108215,13.10809701681137,11.781216412782669,14.413677155971527,10.780148208141327,9.79292243719101,9.63272899389267,8.453232795000076,10.131793469190598,7.138175517320633,7.288744300603867,6.178645417094231,5.724029242992401,6.363964825868607,4.716120287775993,4.493433237075806,4.212145879864693,4.554454982280731,3.887389227747917,3.6190692335367203,3.1683195382356644,2.574317716062069,2.838234417140484,2.5128688663244247,2.0415853708982468,2.0280465483665466,1.6009358689188957,1.866658590734005,1.74452792853117,1.393576804548502,1.4210374094545841,1.1028151959180832,0.9937280789017677,1.015407033264637
head_03,,108.33802223205566,119.94320154190063,114.04447555541992,104.18305397033691,98.62951636314392,116.74089431762695,80.44885993003845,78.61967086791992,62.977516651153564,68.54920983314514,51.22549533843994,64.75784182548523,53.008222579956055,29.32642698287964,53.8131058216095,39.18430507183075,35.56731045246124,28.768080472946167,32.135820388793945,29.429566860198975,32.247501611709595,27.254801988601685,25.480425357818604,19.199275970458984,16.991806030273438,19.62084323167801,13.46147358417511,18.77494901418686,19.666752219200134,13.984118402004242,13.462227582931519,12.744824588298798,10.927659273147583,12.40660473704338,9.746067225933075,9.174326807260513,8.691073954105377,6.9976672530174255,6.858876347541809,6.024700030684471,6.269026547670364,5.657922476530075,5.291961506009102,5.2806660532951355,3.5658691078424454,3.8814418017864227,4.491918906569481,3.282156214118004,2.892303839325905,3.126555308699608,3.0426327139139175,2.688884548842907,2.3907074704766273,2.1721139550209045,1.9695304334163666,1.8115075305104256,1.469687931239605,1.668831706047058,1.5152045525610447,1.3184244744479656,0.9757835417985916,1.0055962949991226,0.929445493966341
