simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
64	5.0223064	-1.1269596	0.25410157	767.72129	6.2364576	1.2275804	0.40892155	0.051231316
65	3.0823998	-1.1173176	0.95466699	885.59024	10.314683	1.3332663	0.81052276	0.0071951464
66	3.1797447	0.53599647	2.8640316	669.60553	2.8629526	1.5543985	0.62482385	-0.11683795
67	2.0303672	-0.25344945	0.28586752	760.98271	8.5918504	1.817956	0.80991433	0.47152756
68	4.8467233	0.65902835	0.092304823	312.19225	5.5288158	1.2171119	0.14239144	-0.26250191
69	3.6536658	-0.12966873	2.653988	847.31893	8.3073382	1.4383917	0.82026313	0.4334693
70	2.602997	-0.9125566	0.60545873	835.15067	20.248775	1.7210456	0.95966901	0.070846069
71	0.39143197	-0.0031675948	0.47819206	754.98428	6.5736708	1.3922126	0.68966935	-0.35544681
72	3.614272	1.481122	2.5763136	848.9355	7.2910071	1.6960033	0.68494905	0.43992042
73	3.0117306	0.99855929	0.72064754	193.38272	8.8909261	1.4639199	0.74605157	0.4658928
74	4.2562859	0.11639217	2.1364763	391.90487	5.2839281	1.2250208	0.63444027	0.45956044
75	3.2318588	0.63095822	1.8382137	84.047213	6.7650236	1.5713456	0.96720505	-0.00078359956
76	4.8708899	-1.1637116	0.66251071	763.07512	20.244825	1.2960849	0.93867671	0.4520812
77	3.4335711	-1.3309271	2.3905613	562.72111	18.419998	1.5077937	0.9881451	0.33784724
78	1.9298454	1.0247425	1.4092387	510.61508	4.8476933	1.8399966	0.88160358	-0.35484554
79	4.5606457	0.3055302	2.8596039	498.01619	10.112891	1.1157087	0.52373887	-0.10044211
80	4.6660209	0.62972352	0.34122116	450.10466	12.875428	1.5785619	0.98872541	0.20168254
81	1.214202	-1.2147404	0.47740556	773.87052	18.800368	1.1989755	0.94150412	0.022890862
82	1.8210822	0.57032052	2.1505803	945.48462	16.933194	1.2127293	0.80541618	0.047996468
83	6.2664993	-0.51056477	2.402571	809.2105	8.2761387	1.8158199	0.98264408	0.16171131
84	2.829648	0.48633155	1.6073819	200.07298	6.4383325	1.1767992	0.29210256	0.2593047
85	0.68633402	0.33271782	2.2234989	410.97826	7.8557412	1.7210394	0.86429957	0.4377756
86	0.72851925	0.10762239	2.2103686	393.30411	5.5945187	1.1448231	0.11055878	0.39840127
87	3.906424	-0.13885237	0.82230674	409.54525	5.6305158	1.899457	0.94506048	0.28859636
88	4.8074772	1.3200145	0.40723731	472.48777	4.520212	1.1851485	-0.081765039	-0.27562132
89	5.9646463	-0.77359785	0.86387634	528.59264	18.72518	1.222549	0.85209559	-0.49048469
90	4.9242902	-0.23443528	2.7644389	776.48332	8.1219004	1.3668203	0.65450468	0.19243458
91	1.5617802	-0.75945909	0.87628686	470.97102	20.218658	1.378376	0.91367517	0.1202029
92	3.352007	-0.31341134	2.3426958	526.96477	14.135636	1.1159135	0.68496984	-0.48696828
93	2.1830368	-1.2473905	0.81384344	533.58488	11.087042	1.3293313	0.83614079	-0.41717211
94	0.52686915	-0.96126436	2.5589239	544.85157	5.9462316	1.4678998	0.76149068	0.32222184
95	1.0115991	-0.33887198	1.8742584	580.81422	17.810258	1.2575455	0.95103788	0.074596214
96	2.9569689	-0.69819477	1.9032105	688.54853	21.483109	1.1676961	0.86434194	0.08680445
97	1.6590625	-0.51032373	2.6008704	557.07053	9.7518273	1.6320836	0.9195903	0.022272704
98	4.7720047	0.49945029	2.6393598	679.20644	14.721104	1.6012799	0.96119814	-0.1655062
99	3.4228312	0.31605949	1.9769892	658.63426	15.39687	1.5101867	0.9538887	-0.1370497
100	5.7908192	-0.99721425	1.7598373	180.31579	12.373257	1.7174062	0.97713698	-0.30145128
101	0.22624156	-0.37037932	2.6563671	348.5041	9.5972085	1.3196392	0.74351683	-0.28726449
102	5.3360146	-0.36147476	0.53530007	835.4263	5.9873616	1.4869536	0.58707799	0.47752516
103	1.9562284	-0.43960948	0.86570044	458.40282	4.0020649	1.4030055	0.68803397	-0.48612544
104	5.6540113	-0.71769	2.7092656	642.21309	9.2876479	1.2987121	0.56072278	0.34802402
105	2.0956916	-0.75218248	2.3230956	397.54757	10.315749	1.6997512	0.91726817	-0.082402369
106	0.052765425	0.25480413	0.48269322	571.48677	5.7843165	1.311199	0.35240042	0.34761255
107	5.729091	0.15446065	0.98629662	128.96963	2.5281379	1.2754675	0.86144803	-0.34796459
108	5.668121	0.54789447	0.35520752	936.34327	6.5091519	1.544363	0.63368481	0.39573211
109	0.55753234	0.25265344	1.7623776	190.38	2.1323303	1.2834607	0.53312337	0.29645723
110	2.3891218	-0.14166806	2.3294611	471.03104	2.9224288	1.1411821	0.022659203	-0.11531809
