coinc_event_id	ifos	snr
0	H1,L1,V1	12.50540371579105
1	H1,L1	10.484143147266
2	H1,L1,V1	20.08105927741545
3	H1,L1,V1	10.37708618105923
4	H1,L1,V1	8.638962993251521
5	H1,L1,V1	8.887864180074615
6	H1,L1,V1	8.78944702275861
7	H1,L1,V1	12.77024102254545
8	H1,L1,V1	10.55106210873456
9	H1	8.425008133624122
10	H1,L1,V1	10.9804902075078
11	H1,L1	23.62754190650295
12	H1,L1	9.530651644731641
13	H1,L1,V1	9.385065012227907
14	H1	8.071206477105861
15	H1,V1	17.21490348158917
16	H1,V1	8.251529218936371
17	H1,L1,V1	12.94314868158259
18	H1,L1,V1	10.71338054488447
19	H1,L1	13.67212373501858
20	H1,L1,V1	8.019936030268646
21	H1,L1,V1	9.089797270500595
22	H1,L1	11.22377397286796
23	H1,L1,V1	9.128790817448529
24	H1,V1	10.03755005798869
25	H1,L1,V1	11.21391328416537
26	H1,L1,V1	10.30438415269328
27	H1,L1,V1	11.37444865006434
28	H1,L1,V1	13.63810055019068
29	H1,L1,V1	8.093654807104318
30	L1,V1	9.902599441501721
31	L1,V1	8.722733836117207
32	L1,V1	8.23500448723369
33	H1,L1,V1	10.50821854151646
34	H1,L1	8.741224233028333
35	L1,V1	8.162953564466379
36	H1,L1,V1	11.20637284465436
37	H1,L1,V1	10.62096387533129
38	H1,L1,V1	15.37757930652808
39	H1,L1,V1	10.52125762339096
40	H1,L1,V1	8.358020726159284
41	H1,L1,V1	9.51830434089079
42	H1,L1,V1	11.35484794996677
43	H1,L1,V1	9.637665471841691
44	H1,L1,V1	10.04832429825642
45	L1,V1	10.05744077026243
46	H1,L1,V1	10.47497107819764
47	H1,V1	10.21914591579225
48	H1,L1,V1	14.68222508099305
49	H1,L1,V1	10.01359026829494
50	H1,L1,V1	8.307608672108501
51	H1,L1,V1	16.01357879783634
52	H1,L1,V1	11.07080527958458
53	H1,L1,V1	16.3805856065538
54	H1,L1	13.38803505148956
55	H1,L1,V1	12.40345121928956
56	H1,L1,V1	10.39432139671623
57	H1,L1,V1	9.217164528077349
58	L1,V1	14.30186842434067
59	H1	11.94150016175323
60	H1,V1	9.151575857113704
61	H1,L1	12.6035352693177
62	V1	16.18819505511309
63	H1,L1,V1	19.21458159926778
64	H1,L1,V1	9.438128544413223
65	H1,L1,V1	9.087438789039016
66	H1,L1	11.15093014036006
67	H1,L1,V1	14.37901510573624
68	L1	12.89455645356694
69	H1,L1,V1	10.97284006529208
70	H1,L1,V1	13.60763000638165
71	H1,L1,V1	8.902629346359898
72	H1,L1,V1	8.680990473157228
73	H1,V1	20.66539980426949
74	H1,L1	10.32297921119202
75	H1,L1,V1	40.21812102147226
76	H1,V1	8.662106137699238
77	H1,L1,V1	16.18478739941663
78	H1,L1,V1	10.43429971249191
79	H1,V1	8.526311874148595
80	L1	19.03408797461743
81	H1,V1	10.0229913779416
82	H1,L1,V1	9.021346879337422
83	H1,L1	10.01118172970599
84	H1,L1	9.126549907018102
85	L1,V1	9.710020320267562
86	H1,L1	10.2943781033978
87	H1,L1	12.57450696432819
88	H1,L1,V1	11.48951754148845
89	H1,L1,V1	13.64842709308935
90	H1,L1,V1	11.06679813526714
91	L1	13.42640641452326
92	H1,L1,V1	13.60397279313622
93	H1,L1,V1	11.06829814311806
94	H1,L1,V1	8.965358017157497
95	H1,L1,V1	9.544703244998727
96	H1,L1,V1	11.23208328559683
97	H1,L1,V1	9.865489651338354
98	H1,L1,V1	9.537393610772302
99	H1,L1	9.683366624438829
100	L1,V1	10.34472568677168
101	H1,L1,V1	25.83428861519765
102	H1,L1,V1	8.260348962290109
103	H1,L1,V1	10.20309789483735
104	H1,L1,V1	9.139847275347369
105	L1	13.43632589192109
106	H1,L1,V1	13.7469901746721
107	H1,L1	13.99041167224467
108	H1,L1,V1	9.13747719229182
109	L1,V1	8.053448347926754
110	H1,L1,V1	8.340750389690015
111	H1,L1,V1	8.956458692136081
112	H1,L1,V1	9.505095163419996
113	H1,L1,V1	8.371124581554328
114	H1,V1	8.048156160571017
115	L1,V1	10.70992437933973
116	H1,L1,V1	44.82077579015494
117	H1,L1,V1	9.020489617418729
118	H1,L1,V1	21.68100815556203
119	H1,L1,V1	10.88481648899366
120	H1	10.72872653930649
121	H1,V1	8.285552060741965
122	H1,L1	10.83876690393772
123	V1	26.13014036610911
124	H1,L1,V1	8.642655450602119
125	H1,L1,V1	10.10958353924041
126	L1,V1	13.31057354002716
127	L1,V1	19.81741775259234
128	H1,L1	8.719100847898174
129	H1,L1	24.32015926057219
130	H1,V1	10.89563417286882
131	L1,V1	8.410759982618689
132	H1,L1,V1	8.416195453369864
133	H1,L1,V1	10.13290226339102
134	H1,L1	9.078047680045753
135	H1,L1,V1	9.315177642932875
136	H1,L1,V1	11.74357820491381
137	H1,L1,V1	8.531288139630272
138	H1,L1,V1	9.346965271381038
139	H1,L1	8.28667176955101
140	L1,V1	14.72149096929823
141	H1,L1	10.00110011600946
142	H1,L1	11.71507509767834
143	L1,V1	26.54889326578115
144	H1,L1	9.250612815760261
145	H1,L1	11.70663863797621
146	H1,L1	13.89446514896162
147	H1,V1	8.49981131573724
148	H1,L1,V1	8.66101911712212
149	L1	18.11369309553647
150	H1,L1,V1	10.87164295509847
151	H1,L1,V1	10.55238142412184
152	H1,V1	8.064444449610546
153	L1,V1	9.699067925929496
154	H1,L1,V1	14.66795044767805
155	H1,V1	8.759869830224304
156	H1,L1,V1	16.74994512932069
157	H1,L1	11.39711943941653
158	H1,L1	12.81255773961279
159	H1,L1,V1	9.379878076028449
160	H1,L1,V1	13.29170495859625
161	H1,L1	13.79980391482752
162	L1,V1	13.03659880772921
163	H1,L1	13.13211330977839
164	H1,V1	8.389061733539192
165	H1,L1,V1	15.38149132202788
166	H1,L1,V1	11.51915357114379
167	L1,V1	8.853022590762732
168	H1,L1,V1	8.33660659075645
169	H1,L1,V1	9.635792627761761
170	H1,L1,V1	11.10015526255497
171	H1,L1	19.71560929423686
172	H1,V1	8.911257932228256
173	H1,V1	12.19774328039228
174	H1,L1,V1	9.797510224650068
175	L1,V1	14.793245858494
176	H1,L1,V1	9.979408735745601
177	H1,L1,V1	11.65964850355254
178	L1,V1	8.48065096025797
179	H1,V1	8.214325714970819
180	H1,L1,V1	8.035243355889437
181	H1	15.13921655646191
182	H1,L1,V1	8.449016462712164
183	H1,V1	8.975218897094759
184	H1,L1,V1	12.38771151062609
185	H1,V1	8.459273281274987
186	H1,L1,V1	19.62073644818602
187	L1	11.50082519137956
188	H1,L1,V1	26.27397925132064
189	H1,L1,V1	9.774637161180161
190	H1,L1,V1	8.244453748979048
191	H1,L1,V1	10.30467722046444
192	L1,V1	9.953893329123078
193	H1,L1,V1	24.49763533438533
194	H1,L1,V1	8.78402911302261
195	L1,V1	10.34508137399132
196	H1,L1,V1	8.013187650986701
197	H1,L1,V1	8.883916150525334
198	H1,L1,V1	8.604233663168079
199	H1,L1,V1	10.93706617515792
200	H1,L1,V1	14.34066450363038
201	H1,L1,V1	10.30816697858083
202	H1,L1,V1	8.709456742452423
203	H1,L1,V1	22.0522975689219
204	H1,L1	8.036307442193607
205	H1,L1,V1	10.2565933037465
206	H1,L1,V1	13.95012091494222
207	H1,L1,V1	11.5818906357713
208	L1,V1	12.14171884823169
209	L1,V1	12.46947846611709
210	H1,L1,V1	10.60486245105312
211	H1,L1	8.286563954829781
212	H1,L1	30.15093227223215
213	H1,L1,V1	15.48433190332351
214	H1,L1,V1	19.16517527688717
215	H1,L1	8.822082624625999
216	H1,L1,V1	8.340597824344556
217	L1,V1	9.393537710540388
218	H1,V1	8.66927217795654
219	H1,L1,V1	17.06604394935776
220	H1,V1	9.42787372466079
221	H1,L1,V1	10.66315748005133
222	H1,V1	11.09785621200494
