coinc_event_id	runtime	distmean	diststd	log_bci	log_bsn	area(50)	area(90)	prob(10)	prob(100)	dist(50)	dist(90)	vol(50)	vol(90)
0	4.286488394020125	553.3558327383969	194.8097585098272	4.889565892754102	5.496516499507297	161.13504080675943	1497.168572156943	0.08424387779029899	0.397362022255481	257.8853779380017	648.8016037470694	7419869.836511145	128446494.92224905
1000	4.549897099961527	1037.74901531056	320.096915512504	9.154362850104981	0.5837669597434934	294.6548506474433	2916.817446420604	0.061966667991158186	0.31461043991423027	436.50394872385436	1054.5253532183374	90472581.64938189	1431242165.4454706
1001	4.29903535998892	1145.605077976374	353.2037199035395	7.178244799033042	-1.542251460915132	1102.5799521408085	16033.40341823822	0.05195694599062312	0.21172298273812654	485.726225278175	1162.939789378559	448776418.97419405	10071336155.053066
1002	4.317487102991436	373.0067487470753	101.231595053682	11.94843842334067	46.08299986917499	16.32449528264634	482.0474432750138	0.3846519501047689	0.7157253296862526	122.09048138794645	332.83111228299515	164603.108075947	9330252.409805432
1003	4.698398209991865	775.5577274185373	270.9745414176248	8.675198592211414	4.633956836788277	155.27788112619012	744.7416560305952	0.04916328899858145	0.37136682771476515	366.46942809610016	889.0904972715737	19606595.70455895	165873136.33107555
1004	4.417425973981153	876.9566224492371	316.5902357313832	8.158082033888313	0.725308072348227	50.249606452390935	2361.6480736000344	0.17989254620777495	0.609545982868007	408.81451806283746	1035.8828900515932	9148554.756796187	901700674.6909119
1005	4.789443271991331	700.6372980375679	174.6055142181769	14.62190341185076	22.56215049608812	8.28511890802483	48.522449341063826	0.5583939945510685	0.969286721346006	234.2891395753653	574.400581284046	685763.4922558556	5393980.372757799
1006	4.68843687302433	45.99831181528769	11.68470566615929	21.54677508371827	1581.204475733078	0.3520818467204073	1.0636055993614038	0.9999999992307612	0.9999999999999917	20.409650266896932	34.810712121759686	4.166246905891481	19.50087392520723
1007	3.484137831022963	433.2996227718895	97.75035097042007	5.594809166411721	36.13760902408453	36.08448701958178	140.98076415439186	0.18512985721494296	0.817224248160406	129.63914110229905	320.00551637875327	635190.0053442646	3201420.793902511
1008	3.336224528029561	2010.998848245691	521.1190524609079	7.240384964122157	-2.930815275775828	4768.968650838726	28134.396229405866	0.018958654793976775	0.0897444903922885	702.0120241425991	1718.2402970402516	9695166986.015303	67022471387.61401
1009	4.056505001964979	866.6823868819304	284.6852061333784	4.639529112515387	1.977558034316381	1618.633172602728	8371.338312169475	0.010739929026353356	0.08061765371667308	387.04123311135754	939.3833701909363	301766609.94796985	2339992686.378653
100	4.469842627993785	1274.527162880713	338.2765076893204	7.053209473264317	-1.733610600007499	818.3744633344238	17133.377580214757	0.029420355270961766	0.1683784332474419	461.8250656122268	1114.1277578969448	463367598.80236524	12082192464.226534
1010	4.696750377013814	843.9332349413639	289.324289135986	11.24940658639909	7.661174255842147	280.3586288149213	1038.8066299731229	0.0368756598851629	0.24746710678315384	394.51749242732456	952.437042609866	43317116.438656926	280528646.0043198
1011	4.186915318015963	891.4590380159109	281.5310985490354	5.639572446627797	2.505397996078079	154.93760465830306	2456.1831308440414	0.06341088162879376	0.4052286051887367	376.1396035166995	924.1195556280891	30485985.247457094	806057628.9497248
1012	4.4043312179856	629.9336050822075	178.1729007416262	9.473779778378322	4.650184407148324	8.823145763554155	42.94395370369259	0.5373277689406468	0.9458866904028085	230.67674105791258	573.7486095081185	528520.807360139	4493005.912114631
1013	4.100394958048128	574.7339762490686	155.8695398587291	11.11497432639926	23.93617589780493	13.68561054567684	165.25384439491947	0.4282943343867252	0.8338781301309782	207.2415252516056	513.037877179359	648573.3363807852	12075523.561378598
1014	4.535361521004234	1111.756075254139	345.6982733735391	7.083247218323619	-2.158384728732673	1946.6880181582467	15169.062093647177	0.0061406873948238305	0.05284362207168979	477.4165697242439	1137.8492938462005	716306760.913665	9105180388.463184
1015	4.570962511003017	1291.354788559672	335.4342033705988	10.03290593022033	0.3485914532878537	638.283408716195	2723.452907999475	0.012635239084244337	0.11616157785067725	454.68511566817506	1104.4883219205392	335768777.07275903	2128550505.3162258
1016	4.129966748005245	896.4686467633542	317.8980888511083	4.857444194224051	0.8763405438905845	360.24316636008655	5385.332343451585	0.03167275907568456	0.2411840861947388	428.07845642301936	1050.7744645605896	75430424.66311248	1929318887.6658952
1017	4.426466813019942	1074.883870720706	341.90875959238	9.88233232761332	2.624919886279637	332.12700231555976	2163.0992081875247	0.0410756637941571	0.2556983377059204	464.34874018354003	1142.9479954794547	113910491.13813409	1197117831.5059795
1018	4.415146921994165	147.5674063094844	25.50496948177128	15.69287437102255	295.5661205077789	2.4932359890541544	9.825498363466478	0.9030000749159296	0.9998555616025941	34.021309618985555	83.83113707358773	1397.4782293473102	7380.123857493047
1019	4.43348247196991	343.7536168941716	77.1273284881232	24.56385848670993	47.03341513227081	1.2867708865083434	4.680433971263357	0.9856945389686359	0.9999999416726548	104.2800565278165	253.87605495837116	11362.074173462985	57630.623705219514
