simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
62	5.7932387	-0.70698433	1.6944828	249.28188	1.2587047	1.2939995	0.047109065	-0.0095442799
63	2.5716602	0.88136944	0.44577934	669.98543	1.6140658	1.7106529	0.0096325793	-0.0053095122
64	5.6886937	1.3958371	2.1528602	784.22467	1.4783194	1.6567793	0.010039293	0.047251434
65	4.3717974	-0.41336165	2.0776688	145.683	1.2737686	1.4642051	0.0095786906	-0.030193093
66	1.3410501	1.0142657	0.43269922	1249.4442	1.5414769	1.6679322	0.049551	0.034948275
67	4.7052079	-0.098321887	2.8689112	933.45201	1.6695235	1.565715	0.029809331	0.046201513
68	2.8842017	-0.62290109	0.67594119	685.304	1.4931088	1.6064088	0.036895791	0.024224658
69	5.264589	-0.13011912	1.9897103	589.39499	1.4407852	1.5550871	0.040787333	-0.048744187
70	2.8632564	0.88956503	0.4985485	1275.5779	1.5029733	1.780681	-0.04222419	0.012813982
71	5.093636	-0.46150996	2.7323746	998.57935	1.6350202	1.6808623	0.043804656	0.031674909
72	5.8901188	-1.0422688	2.3472769	970.27009	1.6628781	1.5334254	0.0073291442	0.047601029
73	1.6106473	-0.94189716	0.48051984	667.00344	1.4897321	1.5238815	-0.016492715	0.00028958336
74	3.0446918	-0.4595564	0.76016614	3826.9491	2.1107309	2.1357139	0.0084931047	-0.045369675
75	0.27226585	0.07745962	2.7225028	521.59717	1.4067828	1.5326753	-0.0045424643	-0.008902227
76	3.1433295	0.43418349	2.9929583	425.66635	1.453836	1.5732741	-0.015644036	-0.02225997
77	2.1966371	0.31428303	0.073094225	367.47938	1.3532881	1.577361	-0.04268808	-0.021824089
78	4.4774684	0.54934635	0.3786023	458.53077	1.6074004	1.481561	0.0010769128	-0.04111226
79	3.1900581	-1.2925824	1.5065925	124.46144	1.3926598	1.3637634	-0.038297897	-0.034630133
80	2.2933055	0.47677426	0.085611234	934.97224	1.7860966	1.4560837	-0.016234449	-0.020167856
81	4.3969779	-0.29969775	2.0407824	246.16822	1.3888783	1.3218259	0.016015093	-0.038807499
82	3.0377629	1.142181	0.65178005	648.37843	1.4508562	1.4745124	-0.018468861	-0.039624176
83	0.25943796	0.7611129	2.5590766	1158.8194	1.8093123	1.7777163	-0.041996693	-0.045516626
84	1.3133095	1.1835222	2.4143889	1569.1082	1.640276	1.5884203	0.025537849	-0.010677974
85	2.8854634	-0.44592625	1.4954367	522.3571	1.453425	1.4188946	-0.010779153	-0.042593597
86	5.390106	0.52725094	2.5681701	1423.4077	1.6077463	1.7161829	0.0021449697	0.04379815
87	4.9998883	0.13156479	2.0790728	235.43173	1.4192434	1.3091362	-0.014921454	0.02232705
88	5.4568462	1.2509321	0.96921259	782.55203	1.5259271	1.6188886	0.023309779	-0.012548526
89	4.3508961	0.75817656	0.73414287	502.24745	1.4867765	1.4681556	0.0061670048	0.044295987
90	4.1511292	1.4699447	0.837385	439.02733	1.5782496	1.4150594	-0.036413114	0.039674176
91	1.3751702	-0.46703729	1.9183487	217.88079	1.4654732	1.4856632	0.032707249	0.0052168793
92	3.5960277	0.32448241	0.27436885	1191.4428	1.548446	1.666541	0.041885454	-0.032126741
93	4.298287	-0.31136216	2.8573772	991.40296	1.7575818	1.6562811	-0.027823831	0.017137028
94	3.2975846	0.57397112	0.88878494	394.60223	1.4745524	1.3645322	-0.038921499	-0.0064274967
