simulation_id,mjd_time,gps_time,longitude,latitude,ra,dec,inclination,distance,mass1,mass2,spin1z,spin2z,redshift,mass1_detector,mass2_detector,mass1_source,mass2_source,radius1,radius2,compactness1,compactness2,mej_dyn,mej_wind,mej_total,phi,costheta,distmean,diststd
24,61122.1904,1458275671.52,5.0874881,1.0580646,291.491596,60.622636,0.032352303,265.57688,1.5156138,1.3506298,-0.020322531,0.048148259,0.0574598,1.5156138,1.3506298,1.4332591,1.2772399,11.855802,11.94718,0.18878,0.16694,0.003061,0.032117,0.035179,40.924613,0.999477,237.375987,37.176927
25,62929.0599,1614389190.48,0.6882847,-1.2607025,39.435808,-72.232932,2.215733,658.18471,1.5255721,1.4905297,0.019690734,0.043864934,0.1352145,1.5255721,1.4905297,1.3438625,1.3129939,11.849578,11.872805,0.19012,0.18539,0.003154,0.044074,0.047228,41.364299,0.601148,1139.027818,314.964569
26,62533.6251,1580223630.65,3.9745839,0.49656095,227.726883,28.450847,0.2298142,287.12256,1.4844417,1.4612129,0.014468505,0.039720961,0.0619269,1.4844417,1.4612129,1.3978756,1.3760014,11.877148,11.890136,0.18457,0.18148,0.002955,0.023473,0.026428,51.776375,0.973709,471.566567,215.924137
27,63937.1314,1701486569.44,4.858365,-0.18128858,278.36381,-10.387071,2.5045249,906.346,1.6064906,1.5774061,0.032545282,0.045608097,0.1810581,1.6064906,1.5774061,1.3602131,1.3355873,11.784489,11.809787,0.20131,0.19724,0.003665,0.017854,0.021519,71.58455,0.803843,902.091641,319.18689
28,61562.3785,1496307924.42,2.0425071,1.4369196,117.027036,82.329429,2.6032899,76.352281,1.4836929,1.3732362,-0.028331115,0.0031951632,0.0170114,1.4836929,1.3732362,1.4588753,1.3502662,11.877696,11.936438,0.18446,0.16989,0.002861,0.036077,0.038938,29.441563,0.85858,77.111118,9.203747
29,61087.4008,1455269848.62,1.2936349,0.20900274,74.11982,11.974975,0.85637728,431.13638,1.4228972,1.3822712,-0.027540409,0.029323342,0.0911451,1.4228972,1.3822712,1.3040404,1.2668079,11.911625,11.931724,0.1764,0.17108,0.002624,0.041163,0.043787,22.290083,0.655179,466.673232,116.983188
30,62571.6357,1583507741.42,0.65005231,-0.50868992,37.245254,-29.145785,0.72564183,281.72,1.5268407,1.3958048,0.018642965,0.033856474,0.0608092,1.5268407,1.3958048,1.439317,1.3157925,11.848584,11.926743,0.1903,0.17282,0.003087,0.056253,0.05934,26.848229,0.748074,378.668011,96.410353
34,61831.1749,1519531933.56,2.8979198,-0.817129,166.038574,-46.818043,0.50603784,609.62741,1.495279,1.4003118,0.041318821,-0.044315815,0.1259751,1.495279,1.4003118,1.3279859,1.2436437,11.869353,11.924095,0.18604,0.17342,0.002922,0.027133,0.030055,68.215494,0.874672,529.528999,152.516833
35,61173.6503,1462721804.5,6.2359393,0.61046712,357.293003,34.97719,0.58003979,469.11392,1.5649671,1.3079121,0.045307498,-0.020473034,0.0986767,1.5649671,1.3079121,1.4244109,1.1904431,11.820109,11.962748,0.19552,0.16145,0.003607,0.043496,0.047103,53.748649,0.836441,513.979201,169.679781
36,63536.094,1666836939.94,5.953362,1.0564065,341.102517,60.527634,2.6786883,274.64191,1.5009732,1.2926342,0.029549954,-0.015800433,0.0593424,1.5009732,1.2926342,1.4168914,1.2202232,11.866147,11.96825,0.18679,0.15949,0.003081,0.048363,0.051444,32.154407,0.894759,260.541977,49.124469
37,61390.5755,1481464141.19,0.64970793,-1.2490297,37.225522,-71.56413,0.55016537,594.99868,1.4774085,1.214307,0.0099860853,0.0021189441,0.1231727,1.4774085,1.214307,1.3153885,1.08114,11.881887,11.991892,0.18362,0.14953,0.003182,0.02004,0.023221,63.956816,0.852438,688.007546,202.879313
39,63129.1183,1631674234.8,1.760018,0.42264284,100.841603,24.215651,2.0859287,549.7697,1.5419418,1.3616868,-0.0088750049,-0.029627899,0.1144516,1.5419418,1.3616868,1.383588,1.2218448,11.836663,11.941069,0.19237,0.1684,0.003227,0.047739,0.050967,66.6822,0.49265,903.831097,262.051187
40,61983.6741,1532707862.45,2.9315055,-0.86738032,167.962893,-49.697232,0.76199356,818.03173,1.6006692,1.5022765,0.043616821,-0.033693787,0.1649926,1.6006692,1.5022765,1.3739737,1.2895159,11.789956,11.865548,0.20049,0.18697,0.003516,0.019978,0.023495,65.79086,0.723461,784.24579,283.830744
41,61607.2362,1500183623.63,2.259286,-1.1365445,129.447553,-65.119203,2.7925235,45.161105,1.2693973,1.2082697,-0.035069687,-0.031619574,0.0101143,1.2693973,1.2082697,1.2566869,1.1961713,11.976311,11.994715,0.15652,0.14876,0.001999,0.021136,0.023134,70.135592,0.939691,44.315196,4.566707
