coinc_event_id,ifos,snr
0,"H1,K1,V1",9.222875339138676
2,"H1,K1,L1,V1",8.356897415445532
4,"K1,L1,V1",13.15155149442758
6,"L1,V1",8.924484272538017
7,"H1,K1,L1,V1",11.70485601820724
8,"H1,K1,L1,V1",12.54240856902373
9,"H1,K1,L1,V1",10.52452508154532
10,"H1,K1,L1",17.95922291554206
11,"H1,K1,L1,V1",8.370195123863661
12,"H1,K1,L1,V1",8.24765196246439
14,"H1,K1,L1,V1",10.9640158332944
16,"K1,L1,V1",9.291033688467722
17,"H1,K1,L1,V1",8.12954478869308
18,"H1,K1,L1,V1",8.765474467860567
19,"H1,K1,L1,V1",8.10596889956083
20,"H1,K1,V1",9.18964335518112
21,"H1,K1,L1,V1",8.623337223724839
22,"L1,V1",22.96383172264301
23,"H1,K1,L1,V1",9.0216011806149
24,"H1,K1,V1",23.53304924725726
25,"H1,K1,L1,V1",8.64761638366154
26,"H1,K1",8.976533393670747
27,"H1,L1",8.205919734659117
28,"K1,L1,V1",60.21333340414006
29,"H1,L1,V1",11.45369447429476
30,"K1,L1,V1",11.02483453637895
34,"K1,L1,V1",10.95897970957511
35,"H1,K1,L1,V1",10.03384659874597
36,"H1,K1,L1,V1",18.05958262765516
37,"H1,K1,L1",9.321967131338305
39,"H1,K1,L1,V1",9.164244905453874
40,"H1,K1,V1",8.829812244962547
41,"K1,L1,V1",90.62545183015467
42,"K1,L1",8.503696362473885
43,"H1,L1,V1",8.891223539035872
44,"H1,K1,L1,V1",8.326410032706393
47,"H1,K1,V1",9.512082947910091
48,"H1,K1,L1,V1",8.230891323184975
49,"L1,V1",9.197026749024758
51,"H1,L1,V1",10.53405113880507
54,"K1,L1,V1",23.9260733818126
55,"H1,K1,L1,V1",8.27334654615293
56,"H1,K1,L1",11.98826000797094
57,"H1,K1,L1,V1",9.141270477622774
58,"L1,V1",11.24939507656704
59,"H1,K1,L1,V1",8.387020812256425
60,"K1,L1,V1",8.431365289149436
61,"H1,K1",9.366411410069231
62,"L1,V1",9.913807319624931
63,"K1,L1,V1",10.66665045130581
64,"H1,K1,L1,V1",8.229825726005954
65,"K1,V1",19.66070147812017
67,"H1,K1,L1,V1",8.158293498017663
68,"H1,K1,L1,V1",8.77400774137772
69,"H1,K1,L1,V1",8.126340594595023
71,"H1,L1,V1",10.31815138540245
72,"H1,K1,L1,V1",8.284050850860465
73,"H1,K1,L1,V1",10.98504986795542
75,"H1,L1,V1",10.31707708060032
76,"H1,K1,V1",10.3973723771824
77,"H1,L1,V1",17.97569363366428
78,"H1,K1,L1,V1",18.91341007340581
79,V1,8.365702745121931
80,"H1,K1,L1,V1",8.799110028629025
81,"H1,K1",8.920653249925754
82,"H1,K1,L1,V1",10.97934299096896
85,"H1,K1,L1,V1",9.27929360930722
87,"H1,K1,L1,V1",12.42667174836127
88,"K1,L1,V1",8.773546751004494
89,"H1,V1",8.030149323218758
90,"H1,K1,L1,V1",11.30473318222145
91,"H1,K1,V1",11.92126086377159
93,"H1,L1,V1",8.987842412508313
94,"H1,K1,L1,V1",10.37419681228548
96,"H1,L1,V1",30.80420521143852
97,"H1,K1,L1,V1",8.316043615213617
98,"H1,K1,L1,V1",9.18459176451332
99,"H1,K1,V1",8.012650467276295
101,"L1,V1",10.30472728459064
102,"H1,V1",10.34563375327648
103,"H1,K1,L1,V1",10.3018468773918
104,"H1,K1,L1,V1",8.463725126533832
105,"H1,K1",9.986592937166884
107,"H1,L1,V1",9.647708810035937
111,"H1,K1,V1",13.64901159845196
114,"H1,L1,V1",16.2347218692164
115,"K1,L1,V1",13.19563693988867
116,"H1,K1,L1",8.742963878222822
117,"H1,K1,L1,V1",9.184758219532384
118,"H1,K1,V1",11.89897174639528
119,"H1,L1",9.433092738025612
120,"H1,K1,L1",26.41360202312472
121,"H1,K1,L1,V1",8.742665369389707
122,"H1,K1,L1,V1",8.722682816232542
123,"H1,L1,V1",10.96039495757754
124,"H1,L1,V1",8.96424732517619
125,"H1,K1,L1,V1",15.07827241649615
126,"H1,K1,L1,V1",12.96753307858582
127,"H1,K1,L1,V1",8.162083042785468
129,"H1,L1",8.310593811484553
130,"H1,L1,V1",9.994128211142554
131,"H1,K1,L1",10.40506726095446
132,"H1,K1,L1,V1",8.31355180075419
133,"H1,K1,L1,V1",12.92172861709586
135,"H1,K1,L1,V1",14.2636026831113
136,"H1,L1,V1",9.709951183373546
137,"H1,K1,L1,V1",18.8209322236332
139,"H1,L1,V1",12.02445788025805
141,"H1,L1,V1",8.13569675768143
142,"H1,K1,V1",8.65280768765723
143,"H1,L1,V1",9.952189347724152
144,"H1,K1,L1,V1",17.24297985582207
145,"H1,L1,V1",16.10958072622903
146,"H1,K1,V1",12.06022329696581
152,"H1,K1,L1,V1",10.29112234157185
153,"H1,K1,L1,V1",11.32486157332344
