coinc_event_id	simulation_id	far	snr	searched_area	searched_prob	searched_prob_dist	searched_vol	searched_prob_vol	offset	runtime	distmean	diststd	log_bci	log_bsn	area(20)	area(50)	area(90)	dist(20)	dist(50)	dist(90)	vol(20)	vol(50)	vol(90)
0	0	0.0	9.222875339138675	7.042198241849896	0.06539020202270157	0.05118599402200958	439768.1322752568	0.14923179964774685	22.596825009511523	4.286488394020125	553.3558327383969	194.8097585098272	4.889565892754102	5.496516499507297	33.29010296748698	161.13504080675943	1497.168572156943	96.4957594369435	257.88537793800174	648.8016037470693	736369.567145407	4996358.226463579	79956251.44754088
1	1	0.0	9.466324510481629	49.833060184413604	0.0700820175399314	0.9268270071496952	76316330.33937185	0.5641694539432872	49.767440870532724	4.238311574968975	847.2778127393364	285.5993372506399	9.88653122804675	10.39723826049093	187.00466749819677	688.7508140506642	2291.488531623165	153.62754420506656	402.98477746817	931.3000574804356	12826676.22097172	60537689.96046262	260938207.9090594
2	2	0.0	8.356897415445532	4.688241846296859	0.187579377031571	0.29107888498802353	233895.22393306918	0.09888803909332425	0.9381009287884636	4.530711870989762	1089.464085983918	313.0453939540471	9.640697221752148	-0.6699503721485565	5.0982395711065935	29.06703776754368	2624.4589653971225	159.14635805151624	423.72221900422835	1030.8708060772096	618276.9542848073	5202800.273239029	679499902.6137153
3	3	0.0	8.368182785884722	9.284685950148564	0.013962993798634395	0.8104596120268457	20983065.944625422	0.18718362792595644	5.132798983882963	4.123244303045794	1009.236530009102	316.5523700098705	7.750078338798815	3.044212006816807	184.72899465306625	676.6183999910941	2643.2548773465514	164.20028686254886	435.9281015390004	1043.2642219382537	22984791.30555087	96862134.03024223	467701943.7914915
4	4	0.0	13.15155149442758	11.27145137592109	0.2563648275619874	0.5445375370772562	36567.54464251698	0.16117314892932727	1.451152281870469	4.236857203999534	340.8880047404629	81.30350238594822	8.921394016841646	34.27391991437756	8.38211190894532	26.964802893176522	89.53247613851701	41.19089402912971	109.67095432212648	267.52726226770164	48216.611128073695	180807.6896346711	868790.4738013648
5	5	0.0	9.411112044495034	73.64801736727999	0.22510899859675115	0.4479582003436703	7076170.704116883	0.16173267254773435	4.376808015803976	4.619721029011998	1101.125674872862	336.7545799300283	8.799372106940577	3.310244019767445	60.801261923421606	373.44979292181466	2401.685166264624	172.36140388173487	458.4586929627354	1110.2111102836438	10086200.139155997	68541369.39988217	583105437.8876148
6	6	0.0	8.924484272538017	99.77103207447966	0.10477342518671977	0.06369750266425578	19715865.160642345	0.34986672564102483	4.829468971772079	3.639460205973592	613.5378306750999	207.6096169175938	1.835301739290729	9.234366062553464	215.9549251695758	987.1714489610791	5905.949302144504	106.50551209731304	282.61596372919917	681.5541483504519	8070549.11350491	41760842.477886885	309229813.06765825
7	7	0.0	11.70485601820724	0.30408002184896626	0.03369794680909761	0.8826732274118911	284490.5096954155	0.45814103730474004	0.17515271573105226	4.531252246000804	640.240710721778	173.213419142244	14.16101402216825	17.90924548363924	2.151532187470494	8.543959934349635	40.987739806128694	84.48170806685948	226.1398142243878	570.4430815592515	69671.84624597276	341156.82669627934	2201067.341210886
8	8	0.0	12.54240856902373	711.930834550276	0.9538317478631279	0.6468525426833671	63778190.09969967	0.9738489162253373	38.71710421915971	4.618536137975752	679.0681744900572	191.7396890394961	11.56360537433124	22.18193911294744	25.400201227274984	118.46682534454887	508.2632289483301	97.62378576809976	259.97224590129576	632.3495085857302	1196862.0302418112	6114804.628801652	32939634.095368207
9	9	0.0	10.52452508154532	253.36176914808902	0.589081122621282	0.045422001290173326	12647250.468886195	0.46599919624488867	138.79249849973183	4.69311343296431	786.2406535216486	241.1643310245228	10.21857773392858	9.71009146472541	47.52636692480821	178.9316527729304	870.3900905876102	122.36842709886957	325.8357319831788	794.2259246937464	3155614.9114002343	14666170.075238924	90693479.04825488
