class_name,rank,sample_index,source_label,parent_event_idx,n_obs,n_det_snr5,n_bands,t_span_days,mean_lupt,std_lupt,amp_lupt,mean_err,typical_score
positive,1,58295,Baseline,1660,12,2,6,82.843,25.2908,1.3249,5.7043,0.6223,0.5510
positive,2,25911,Gold,756,9,9,3,57.972,23.9186,1.9655,6.9412,0.3823,0.6521
positive,3,62059,Silver,1775,12,5,4,59.987,24.7949,1.6539,5.5968,0.5313,0.7141
negative,1,877145,SN,,14,14,5,83.855,19.4666,3.8107,12.4844,0.2171,-3.3510
negative,2,1404914,TDE,,17,13,6,88.856,20.4319,3.4556,9.9532,0.1238,-3.5517
negative,3,20688,AGN,,16,3,6,75.796,24.4508,0.6917,3.1737,0.4322,0.1974
